subject_id,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/18118065911754783035,emedia finale allegro,pc: windows 98/2000/me/xp cd-rom drive 800x600 minimum monitor resolution 256 mb ram recommended (128 mb may be sufficient in older operating systems) 200 mb hard drive space (for software and user manual) mac: g4 or higher recommended. os 10.2 and ...,,169.99
http://www.google.com/base/feeds/snippets/18264562147667335719,phantom efx reel deal slots mystic forest,fantasy: the best just keeps getting better! this hot new game is busting at the seams with bonus rounds superior sound and graphics and the quality fans have come to love from phantom efx. high-level concept: the most r,,17.24
http://www.google.com/base/feeds/snippets/18259447335875519213,orion/imaginova starry night galaxy explorer,pilot a starship through intergalactic space blast off earth and fly to over 28000 galaxies. learn detailed information through the skyguide as you explore the 3-d universe. even examine the structure of the universe from up to 700 million light y,,8.8
http://www.google.com/base/feeds/snippets/18264347410665748173,global software publ na sudoku,millions of people buy newspapers for the daily sudoku puzzle a new addictive ritual as necessary a routine as that morning jolt of coffee! this program is chocked full of more than 20000 sudoku puzzles,,4.82
http://www.google.com/base/feeds/snippets/18295506345742178609,encore inc elementary advantage 2008,elementary school advantage? 2008 delivers the most award-winning content aligned with classroom curriculum. get the best results with over 1000 lessons and exercises in the core subjects. system requirements: windows® 2000 sp4/xp (ho,,33.89
http://www.google.com/base/feeds/snippets/10555450463385817719,jungle software gorilla pro 4.0 film production,power pc© g3 or intel processor 256mb ram 512mb recommended 400mb available hard disk space macintosh os x 10.2 and above monitor capable of 1024x768 screen resolution,,359.99
http://www.google.com/base/feeds/snippets/16073556725854260285,allume anime studio pro,mac os x v10.3.9+ (universal binary) (mac os x v10.4+ recommended) powerpc g5/g4 processor 500mhz or above (intel processor recommended) 256 mb ram minimum 50 mb free hard disk space (300 mb free hard disk space for anime studio pro) 16-bit color ...,,179.99
http://www.google.com/base/feeds/snippets/18275035621919457369,dreamcatcher interactive obscure,what walks the halls of leafmore high? survival horror hits the high schools - the first action-adventure in the style of american teen slasher movies. tortured screams echo through leafmore high's deserted corridors. faceless creatures lurk,,17.55
http://www.google.com/base/feeds/snippets/18213081663134894535,adobe acrobat v8.0 professional for mac upsell from std-pro,system requirements powerpc or intel core duo processor mac os x v10.4.3 256mb ram (512mb recommended) 1gb free hard-disk space 1024 x 768 display resolution dvd-rom drive,,145.99
http://www.google.com/base/feeds/snippets/18286585073343765950,tri synergy inc oxford world encyclopedia,here is an authoritative stimulating and up-to-date reference work with over 1.5 million words and 20000 entries. oxford world encyclopedia is the first in a new series of reference works from oxford university press featuring ifinger's software,,16.31
http://www.google.com/base/feeds/snippets/18163685181387991761,digital leisure inc dance 6 (e-jay),dance ejay 6 is the ultimate audio production suite for your pc! select from 4000 brand new studio-quality sounds or use the 5 virtual instruments cd grabbing function and recording studio to create your own unique samples. fine-tune your music ...,,24.91
http://www.google.com/base/feeds/snippets/18159360858957097495,stamps.com your desktop post office,instantly calculate and print exact postage from your pc! eliminate trips to the post office print on envelops labels or plain paper save 80% compared to a postage meter. make your mail look more professional takes,,13.38
http://www.google.com/base/feeds/snippets/9043771553757075875,adobe soundbooth cs3,system requirements multicore intel processor mac os x v.10.4.9 512mb of ram (1gb for dv playback; 2gb for hdv and hd playback) 10gb of available hard-disk space 1280x900 monitor resolution with 32-bit video card and 16mb of vram core audio ...,,205.99
http://www.google.com/base/feeds/snippets/18151952927255406461,sos aggregation company panda antivirus 2007,viruses worms and trojans have evolved. now there are more than ever and they use new stealth techniques. antivirus 2007 automatically detects and eliminates them keeping your computer clean. product features: keeps the computer free f,,23.72
http://www.google.com/base/feeds/snippets/18190434268931466210,encore inc registry mechanic,how smooth does your computer run? registry mechanic will safely scan clean repair and optimize the windows registry with a few simple mouse clicks. system requirements: windows® 98se/me/2000 sp4/xp (home and pro) sp1³ p,,25.49
http://www.google.com/base/feeds/snippets/9426718267663314434,adobe illustrator cs3 upgrade for mac,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 2.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,206.99
http://www.google.com/base/feeds/snippets/18172308291108986699,phillip keveren disney's the little mermaid/beauty and the beast,1. fathoms below 2. daughters of triton 3. part of your world 4. under the sea 5. part of your world reprise 6. poor unfortunate souls 7. les poissons 8. kiss the girl 9. belle 10. belle reprise 11. gaston 12. gaston reprise 13. be our guest 14. ...,,23.59
http://www.google.com/base/feeds/snippets/9250111493808447085,jungle software gorilla student 4.0 film production,power pc© g3 or intel processor 256mb ram 512mb recommended 400mb available hard disk space macintosh os x 10.2 and above monitor capable of 1024x768 screen resolution,,179.99
http://www.google.com/base/feeds/snippets/18171290245464117932,topics entertainment instant play guitar deluxe v2.0,,,31.06
http://www.google.com/base/feeds/snippets/9342175169264415955,iplaymusic beginner guitar lessons mac,system requirements: macintosh computer with a powerpc g4 powerpc g5 or intel core processor 733 mhz or faster 512 mb ram garageband 3 or later required to use the included garageband projects mac os x v10.3.9 or v10.4.3 or later v10.4.4 ...,,44.95
http://www.google.com/base/feeds/snippets/9484979283744840884,adobe cs3 web premium upsell,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 7gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom ...,,1434.99
http://www.google.com/base/feeds/snippets/18195210518723634061,encore inc adventure workshop preschool-1st grade 8th edition,introduce your child to an exciting on-screen learning environment brimming with award-winning adventures that will build essential skills while having fun. introduce your child to an exciting on-screen learning environment brimming with award-winni,,17.1
http://www.google.com/base/feeds/snippets/9757350103424139605,micromat podlock ipod utility software,system requirements: a macintosh running mac os x 10.3 or greater. an ipod.,,39.99
http://www.google.com/base/feeds/snippets/9526578983773698753,adobe premiere pro cs3,multicore intel® processor (adobe® onlocation? cs3 is a windows application that may be used on macintosh using boot camp and windows sold separately) mac os x v.10.4.9 1gb of ram for dv; 2gb of ram for hdv and hd 10gb of available hard-disk space ...,,825.99
http://www.google.com/base/feeds/snippets/18218026817519050250,individual software inc bookkeeper 2008 (us pos),,,37.19
http://www.google.com/base/feeds/snippets/9647142668602200141,adobe cs3 flash professional upgrade,system requirements 1ghz or faster powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 2.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,,205.99
http://www.google.com/base/feeds/snippets/18055289311900407768,allume systems inc poser figure artist,figure artist allows artists and graphic designers to draw learn and explore the human figure and poses of the human body. system requirements: windows 2000 or xp. mac os x 10.2 or later.,,92.51
http://www.google.com/base/feeds/snippets/11063455580387217522,netopia timbuktu pro for mac single license,product datasheet [pdf: 2.1mb],,97.99
http://www.google.com/base/feeds/snippets/18073883319223617218,sage (ptree) premium accounting for manufacturing 2007 multi-user,peachtree by sage premium accounting for manufacturing 2007 multi-user value pack provides 5-named user access with screen-level access control advanced accounting and analysis tools and manufacturing-specific reports. premium features include ...,,1180.37
http://www.google.com/base/feeds/snippets/18080236342166120371,imagination international corp live bingo,gone are the days of mom and dad missing their chance at bingo to pull numbers out of a bag! now the whole family can play along with live bingo the only interactive dvd game featuring this classic family activity. let live bingo's exciting sound ...,,10.86
http://www.google.com/base/feeds/snippets/18089023914130738551,avanquest usa llc system care professional,system care professional is a comprehensive collection of essential pc utilities designed to maintain and protect your pc to keep it running just like the day you bought it. system care professional eliminates the hassles of setting up managing and ...,,43.32
http://www.google.com/base/feeds/snippets/18105761375553744131,school zone interactive vocabulary puzzles 1 on track software,vocabulary puzzles 1 helps children recognize pronounce and spell words. engaging activities games and animated rewards make this electronic workbook a great way to learn! system requirements: windows®: microsoft® windows® 9,,9.45
http://www.google.com/base/feeds/snippets/18107239556630917796,steinberg software cubase se 3.0 - educational edition,midi sequencing vst system link rewire and 48 tracks of 24-bit 96k audio utilizing the latest 3.0sx engine. new interface and several midi and audio enhancments. (includes steinberg key.),,145.73
http://www.google.com/base/feeds/snippets/18113699401844993243,sony media software photo go (with $5 mir),photo go? is the fun easy way to organize edit and share your digital photos. if your digital photo collection is growing out of control photo go? software can get you organized. photo go automatically imports pictures stored on your,,19.66
http://www.google.com/base/feeds/snippets/18135578158357182921,topics entertainment snap! hair styler studio,try on the new look you've always wanted! snap a digital photo of yourself then unleash your imagination with this virtual beauty salon. experiment with hairstyles makeup eyewear jewelry and more! system requirements: for windows: <l,,3.44
http://www.google.com/base/feeds/snippets/18141440313618559567,freeverse software toysight gold,toysight is set of cool games and toys to play using your isight? or similar firewire camera. using a system of object and motion detection to track your position toysight allows you to control buttons sliders and perform gestures on the screen pu,,21.23
http://www.google.com/base/feeds/snippets/10713659865788525116,symantec norton anti-virus v.10 mac,mac os 10.3.x or higher,,64.99
http://www.google.com/base/feeds/snippets/17982318849719467269,viva media llc riding academy: jump & ride,with this great software players will be able to experience realistic horse back racing. there are 12 action packed steeplechase courses and 6 different fredily horse to chose from. system requirements: win: 400mhz pemtium pc ii 128 mb ram,,17.55
http://www.google.com/base/feeds/snippets/18000939542340526750,encore inc printmaster gold v 17.0,printmaster® gold version 17 features thousands of images and ideas to help you design everything from basic greeting cards to ipod skins full stationery sets and seasonal decorations. system requirements: windows® 98se/me/2000 sp,,17.1
http://www.google.com/base/feeds/snippets/10827782844634609439,feral interactive ford racing 2 for os x,minimum system requirements (macintosh) ? mac os 10.2 ? powerpc g3/g4 800 mhz ? 256 mb ram ? hardware accelerated 3d graphics card with 32 mb vram ? dvd drive ? 250 mb free hard disk space ? mouse and keyboard ? quicktime 6 recommended system ...,,24
http://www.google.com/base/feeds/snippets/10849068506859926430,apple ilife '06,system requirements * macintosh computer with a powerpc g4 powerpc g5 or intel core processor; 733mhz or faster for idvd * 256mb of ram 512mb recommended * mac os x v10.3.9 or v10.4.3 or later; v10.4.4 recommended * itunes 6.0.2 and quicktime ...,,79.99
http://www.google.com/base/feeds/snippets/18003213870869015246,sega of america inc sonic mega collection,loaded with hyper-speed ring collecting fun sonic mega collection plus? features sonic's early adventures that turned the blue dude with a 'tude into one of the first video game superstars. both long time fanatics and newcomers to the series,,17.55
http://www.google.com/base/feeds/snippets/10851688356333529622,jungle software gorilla standard 4.0 film production,power pc© g3 or intel processor 256mb ram 512mb recommended 400mb available hard disk space macintosh os x 10.2 and above monitor capable of 1024x768 screen resolution,,269.99
http://www.google.com/base/feeds/snippets/10939909441298262260,apple ilife '06 family pack,system requirements macintosh computer with a powerpc g4 g5 or intel core duo processor; 733mhz or faster required for idvd 256mb of ram; 512mb recommended mac os x v10.3.9 or mac os x v10.4.3 or later; mac os x v10.4.4 recommended itunes 6.0.2 and ...,,99.99
http://www.google.com/base/feeds/snippets/18011289804558195936,dreamcatcher interactive wanted - wild willy west,saddle-up for one terrific adventure! take on the role of fenimore fillmore as you confront the wealthy powerful and evil john starek who has been threatening the local townspeople into selling him their land by whatever means necessary. in this w,,17.55
http://www.google.com/base/feeds/snippets/18029245320668853953,microvision development webexpress,webexpress gets you started with dozens of customizable templates so you can create professional looking web sites and be up on the web instantly. take orders right from your web site and sell products globally. post product information upcoming ...,,57.52
http://www.google.com/base/feeds/snippets/10956401022937572078,fogware hyb art dvd,works with ipod 5g & ipod nano windows: windows® 2000 or xp dvd drive itunes 7 or later quicktime 7.1.1 or later. no installation necessary. mac: mac os x dvd drive itunes 7 or later quicktime 7.1.1 or later. no installation necessary.,,21.99
http://www.google.com/base/feeds/snippets/18046511712294457433,emedia music corp emedia guitar basics,a fun way to learn acoustic or electric guitar at your own pace. songs and exercises are accompanied by full-motion videos. the easiest way to get started! over 20 songs over 40 lessons automatic tuner animated fretboard 20-chord dictionary ...,,16.64
http://www.google.com/base/feeds/snippets/18054567164113625813,abacus usa/world extreme landscapes bundle,,,38.43
http://www.google.com/base/feeds/snippets/7898902077337932386,corel painter x,system requirements mac os x (version 10.3.9 or higher with latest revision applied) macintosh® computer with a 700 mhz or faster power pc® g4 power pc g5 or intel® processor 256 mb of ram (512 mb recommended) mouse or tablet 24-bit color display ...,,395.99
http://www.google.com/base/feeds/snippets/17943553623332924825,csdc more brain games - on hand software,challenge your neurons? to fun more brain games is an outrageously challenging collection of games that will entertain you and stimulate your brain for hours. this bundle of captivating games provides hundreds of levels and multiple levels o,,7.17
http://www.google.com/base/feeds/snippets/7882287499485291732,microsoft windows vista ultimate retail no open box returns,system requirements pc with pentium 1 ghz 32-bit (x86) or 64-bit (x64) processor 1 gb of ram or more recommended 40 gb of available hard-disk space and requires an additional 15 gb of available hard-disk space. graphics process unit windows aero ...,,399.99
http://www.google.com/base/feeds/snippets/17936351408567096042,csdc macdrive 7 for windows - mediafour corp.,share files between mac disks and windows. macdrive turns windows pcs and intel-based macs running boot camp into cross-platform file sharing powerhouses giving them the ability to open edit and save files from mac disks. with macdrive ther,,39.61
http://www.google.com/base/feeds/snippets/7795796130761039507,adobe cs3 design standard academic,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 5.3gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,,385.99
http://www.google.com/base/feeds/snippets/17939626833908573527,encore inc math advantage 2008,math advantage? 2008 was specially developed to supplement classroom curriculum by including great award-winning content that support state standards. in-depth lessons with sample problems and questions teach reinforce and track student pr,,33.89
http://www.google.com/base/feeds/snippets/17922830512683848229,csdc route 66 route canada (french),door to door route planning for canada and the us. over 4000000 points-of-interest more than 11500000 kilometers of road over 75000000 house numbers over 6500000 streets gps-compatible multi-lingual user interface,,35.98
http://www.google.com/base/feeds/snippets/7744548491761569898,sims 2 open for business,system requirements: requires the full version of the sims 2 for mac os x to play. operating system: mac os x 10.3.9 or later cpu processor: powerpc g4/g5 or intel chipset cpu speed: 1.2ghz or faster memory: 256 mb or higher (512 mb recommended) ...,,34.99
http://www.google.com/base/feeds/snippets/7744305702477366904,aspyr lego star wars,system requirements: operating system: mac os x 10.3.8 or later cpu processor: powerpc g4/g5 cpu speed: 1.2ghz or faster memory: 512mb ram hard disk space: 2gb free disk space video card (ati): radeon 9000 video card (nvidia): geforce fx5200 video ...,,29.99
http://www.google.com/base/feeds/snippets/17919905528679711200,grisoft avg anti-virus & anti-spyware,avg knows that you didn't buy your pc to run security software. that is why avg is designed to use the the least amount of your pc's resources while offering you rock-solid protection against the latest internet threats. system requirements,,32.29
http://www.google.com/base/feeds/snippets/8056776198231015744,phase one capture one le,camera support for capture one le: canon 1ds mkii / 1d mkii / 1d mkii n /1ds / 1d / 5d / 20d / 10d / 300d / 350d / d60 / d30 / pro 1 / g6 / g5 / g3 / g2 konica minolta alpha 7 d / maxxum 7 d / dynax 7 d / alpha 5 d / maxxum 5 d / dynax 5 d / a1 / a2 ...,,76.99
http://www.google.com/base/feeds/snippets/17967900865986277130,encore inc family tree maker version 16 collectors edition,with family tree maker version 16 (collector's edition) you can access more than 5 billion records through ancestry.com as you research your family's history. the best-selling genealogy program for 15 straight years family tree maker lets you ac,,85.07
http://www.google.com/base/feeds/snippets/8050920942672245174,aspyr sims 2 university expansion pack,system requirements: requires the full version of the sims 2 for mac os x to play operating system: mac os x 10.3.9 or later cpu processor: powerpc g4/g5 cpu speed: 1.2ghz or faster memory: 256 mb or higher (512 mb recommended) hard disk space: 2gb ...,,35.99
http://www.google.com/base/feeds/snippets/8042583218932085904,adobe cs3 web standard upsell,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 4.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,,819.99
http://www.google.com/base/feeds/snippets/17966566453322835928,re:launch bryce 6,bryce 6 is the ideal 3d software addition to your image-editing toolbox. it gives creators the ability to work faster and create more realistic environments than ever before. place your characters directly into your bryce 6 scenes and have them walk ...,,94.94
http://www.google.com/base/feeds/snippets/17967569973770560353,school zone interactive flash action addition & subtraction,addition/subtraction flash action transforms flash cards into exciting learning games. children compete against the clock or another player as they play for speed and accuracy. system requirements: pc: microsoft® windows 95/98 o,,8.8
http://www.google.com/base/feeds/snippets/7972469902462196789,adobe cs3 after effects upgrade,system requirements powerpc® g4 or g5 or multicore intel processor mac os x v.10.4.9 1gb of ram for dv; 2gb of ram for hdv and hd 500mb of available hard-disk space plus 2gb of space for optional content (additional free space required during ...,,306.99
http://www.google.com/base/feeds/snippets/17956725325082284641,nova development corp art explosion 600000 images,art explosion is the brand that computer users everywhre keep coming back to again and again. and for good reason. art explosion products are well-known for unparalleled variety and the highest possible quality. and they offer the kind of truly ...,,72.86
http://www.google.com/base/feeds/snippets/7937630813831495909,apple aperture v 1.5 photo editing,what's in the box application content and tutorial dvds printed and electronic documentation minimum system requirements power mac g5 with 1.8ghz or faster powerpc g5; 17- or 20-inch imac g5 with 1.8ghz or faster powerpc g5; or 15- or 17-inch ...,,299.99
http://www.google.com/base/feeds/snippets/17962667015870936885,topics entertainment instant immersion german 2.0,business trip to berlin? holiday in hamburg? from munich to munster now you can join the conversation with instant immersion german v2.0 the dynamic 5-disc language learning system on cd-rom. system requirements: pc: windows 98,,17.55
http://www.google.com/base/feeds/snippets/7928295573107692065,x-plane 8 dlx mac os x graphic sim,system requirements cpu: powermac g4 or g5 1ghz+ ram: 1 gb disk space: 60gb optical: dvd 3-d card: opengl vram: 32mbs monitor: 1024x768+ joystick/yoke: usb,,56.99
http://www.google.com/base/feeds/snippets/7928058720709111960,adobe photoshop cs3 extended for mac,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram 64mb vram 2gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive internet or ...,,935.99
http://www.google.com/base/feeds/snippets/17956249157120493393,intuit inc quickbooks premier edition 2007 5 user,quickbooks: premier edition 2007 offers industry-specific and business planning tools tailored to your business type along with saving you time on routine accounting tasks premier makes it simple to monitor business performance build forecasts and ...,,1309.31
http://www.google.com/base/feeds/snippets/7415156197197389350,apple iwork '06 family pack,minimum system requirements macintosh computer with 500mhz or faster powerpc g4 or g5 processor or intel core duo processor mac os x 10.3.9 or 10.4.3 or later 3gb of available disk space 256mb of ram minimum; 512mb recommended 32mb or more video ...,,99.99
http://www.google.com/base/feeds/snippets/17878975434909198145,susteen inc datapilot cell phone data transfer suite universal,cell phone data transfer suite software with universal usb cable for motorola sony eriksson sanyo lg nokia and samsung. system requirements: pentimum 100 mhz or higher cpu 32 mb minimum ram 60 mb of free hdd space 800x600 or higher resolut,,67.94
http://www.google.com/base/feeds/snippets/17872821788401002421,warner home video - games hospital tycoon,exclusively on pc manage and maintain the hospital. make sure the patients get cured and thestaff are kept happy. do you have what it takes?,,26.33
http://www.google.com/base/feeds/snippets/17846711186532338786,simply put software llc mozy 3.0,mozy remote backup is a simple automatic and secure way of backing up your important files to a secure offsite facility including: digital music digital photos email financial files and more and recovering them via an internet connection. inc,,43.3
http://www.google.com/base/feeds/snippets/7739419455751524618,microsoft windows xp pro sp2 retail,,,299.99
http://www.google.com/base/feeds/snippets/17911312393691300802,roxio inc stopzilla 4.0,cnet editors? choice award winner! stopzilla?s true real-time® protection is unbeatable. it detects and destroys spyware and pop-ups and blocks online threats including phishing attacks. stopzilla?s superior technology delivers daily updates,,26.14
http://www.google.com/base/feeds/snippets/7742313617688572944,chronos soho labels and envelopes,system requirements ? apple macintosh g3 or higher ? mac os x v10.2 or later (v10.3 or later required to use vector clip art) ? 30 mb of available disk space (1.2gb for full clip art collection) ? cd-rom drive ? inkjet or laser printer (optional). ...,,29.99
http://www.google.com/base/feeds/snippets/17907379108807127194,delorme mapping topo usa 6.0 west region,wouldn?t it be nice to always have exactly the right kind of map whatever your needs may be? you will with the uniquely versatile delorme atlas & gazetteer series. these topographic atlases cover individual states with the most comprehensive ...,,43.36
http://www.google.com/base/feeds/snippets/7704167897291051109,broderbund mavis beacon teaches typing deluxe17,macintosh® minimum system requirements: powerpc g3 333-mhz processor or faster mac os 9.2 mac os 10.2.2 and higher 64 mb ram for mac os 9.2 128 mb ram for mac os 10.2.8-10.3.9 256 mb ram for mac os 10.4.x 16x cd-rom drive 360 mb free hard disk ...,,36.99
http://www.google.com/base/feeds/snippets/17896835956549874370,encore inc family tree maker v 16 essentials,family tree maker® essentials edition v16 is the 1 bestselling resource to create your family tree. easily compile organize and share your unique keepsake. bonus 3-month subscription to ancestry.com. system requirements: windows® 98s,,25.75
http://www.google.com/base/feeds/snippets/7587316869277129977,phase one capture one pro,capture one db & pro: phase one p 45 / p 30 / p 25 / p 20 / h 25 / h 20 / h 10 / h 101 / h 5 / lightphase capture one pro & le: canon 1ds mkii / 1d mkii / 1d mkii n /1ds / 1d / 5d / 20d / 10d / 300d / 350d / d60 / d30 / pro 1 / g6 / g5 / g3 / g2 ...,,415.99
http://www.google.com/base/feeds/snippets/17886724437749928713,masque publishing sportsmans double play with american billiards,features sportsman's double play and american billiards. sportsman's double play includes sport fishing professionaland sport shooting. american billiards includes 8-ball 9-ball snooker and more.,,17.55
http://www.google.com/base/feeds/snippets/8761785470712681109,microsoft windows xp home edition sp2 retail box,top features fast user switching new simplified visual design windows media player windows messenger windows movie maker my pictures automatic updates internet explorer 6 remote assistance system restore network setup wizard tools and games for the ...,,199.99
http://www.google.com/base/feeds/snippets/18180725296745787083,emedia music corp emedia intermediate guitar method,top 100 cd-rom of the year. - pc magazine learn to play lead guitar and more! emedia intermediate guitar method is the easiest way to take your playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lesson,,49.21
http://www.google.com/base/feeds/snippets/8829327324895223617,entertainment partners ep budgeting for film,viewable only on a computer minimum 256mb ram mac os® x minimum g4 processor (or) pc minimum intel® pentium® iii 800 mhz processor screen resolution 1024 x 768 quicktime® 7 installed,,415.99
http://www.google.com/base/feeds/snippets/18312853825749428303,nova development corp ideasoft photo clip art 10000,stand out from the crowd with 10000 unique photo images! these bright bold and brilliant photos come with solid changeable backgrounds making them as easy to use as clip art. from bananas to banjos cars to children dogs to ducks - there's a photo,,7.81
http://www.google.com/base/feeds/snippets/17832927937923546408,csdc pop-up stopper professional - panicware,pop-up stopper professional is complete ad-blocking technology from a company you can trust. it blocks pop-up and pop-under ads in all browsers including aol msn netscape internet explorer sbc yahoo wmconnect & more ? it even blocks annoying ...,,26.14
http://www.google.com/base/feeds/snippets/17834804262117799503,steinberg software halion symphonic orchestra - educational edition,halion symphonic orchestra supports all major formats: vst dxi au + rewire for easy protools integration. a multi-output-capable stand-alone version is also included.,,545.51
http://www.google.com/base/feeds/snippets/8648200549603855201,apple final cut studio 2 upgrade from final cut studio,final cut studio 2. system requirements. minimum requirements to install all final cut studio applications a macintosh computer with a 1.25ghz or faster powerpc g4 powerpc g5 intel core duo or intel xeon processor 1gb of ram an agp or pci express ...,,499.99
http://www.google.com/base/feeds/snippets/8968352871606641625,netopia timbuktu pro for mac and windows 2 pack,product datasheet [pdf: 2.1mb],,207.99
http://www.google.com/base/feeds/snippets/9000601847258285543,super collapse! 3,product requirements: mac os x 10.2.8 through 10.4 g3 400mhz or intel core processor 128mb ram,,22.99
