subject_id||<http://schema.org/Product/warc>||<http://schema.org/Product/manufacturer>||<http://schema.org/Product/product_gtin>||<http://schema.org/Product/wattage>||<http://schema.org/Product/weight>||<http://schema.org/Product/phone_carrier>||<http://schema.org/Product/processor_type>||<http://schema.org/Product/front_cam_resolution>||<http://schema.org/Product/memory>||<http://schema.org/Product/width>||<http://schema.org/Product/body_material>||<http://schema.org/Product/depth>||<http://schema.org/Product/brand>||<http://schema.org/Product/display_resolution>||<http://schema.org/Product/phone_type>||<http://schema.org/Product/height>||<http://schema.org/Product/product_type>||<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>||<http://schema.org/Product/computer_operating_system>||<http://schema.org/Product/display_size>||<http://schema.org/Product/color>||<http://schema.org/Product/dimensions>||<http://schema.org/Product/rear_cam_resolution>||<http://schema.org/Product/ram>||<http://schema.org/Product/product_code>||<http://schema.org/Product/mpn>||<http://schema.org/Product/url>||<http://schema.org/Product/modelnum>||
http://dws.products.wdc/nodeff5d325a6de23ad0be494275a22e060||aliexpress.com0.warc.nq.gz||||||||||||||||||||||||||||||||holder||<http://schema.org/Product>||||||||||||||||||http://www.aliexpress.com/item/universal-mini-wall-stand-portable-mount-holder-for-iphone-for-samsung-for-smartphone-for-tablet/32353082381.html?ws_ab_test=searchweb201556_6%2csearchweb201644_2_505_506_503_504_502_10001_10002_10016_10017_10010_10005_10011_10006_10003_10004_10009_10008%2csearchweb201560_3%2csearchweb1451318400_-1%2csearchweb1451318411_6448&btsid=e10902e7-0f5a-4cee-a083-3452590badd9&_escaped_fragment_=||||
http://dws.products.wdc/node1ea347cb4bb45067633e46b461bef994||shop.com0.warc.nq.gz||||||||||||||||16gb||||||||apple||||iphone 6 plus||||||<http://schema.org/Product>||ios8||5.5 in||||||||||||||http://www.shop.com/apple+iphone+6+plus+16gb+4g+lte+unlocked+gsm+cell+phone+space+gray-1264391271-p+.xhtml||||
http://dws.products.wdc/nodebf61c5e9fb84eb55ddc243ccb705c58||walmart.com4.warc.nq.gz||||||||||||||||||||||||vysk||||vep1-aph6-blu||||||<http://schema.org/Product>||||||blue||0.88 x 4.56 x 8.25 inches||||||||60-3438-05-xp||http://www.walmart.com/ip/vysk-privacy-charging-case-for-apple-iphone-6-blue/45394977||||
http://dws.products.wdc/nodee1b80c13cb58a5fa5365349fe7dad||ebay.com1.warc.nq.gz||||||||||unlocked||||||16gb 64gb 128gb||||||||apple||||iphone 6 plus||||||<http://schema.org/Product>||ios - apple||||||||||||||a1522||http://www.ebay.com/itm/apple-iphone-6-plus-factory-unlocked-cdma-gsm-16gb-64gb-128gb-gold-gray-silver/121668068968?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d33876%26meid%3d6225821c710f46f4890f4e6037583e4a%26pid%3d100005%26rk%3d3%26rkt%3d6%26sd%3d222014711344&rt=nc||||
http://dws.products.wdc/node18b8e5dde1f7d89f7407f6530f4e52f||tesco.com0.warc.nq.gz||||||n/a||0.14 kilogram||||a8 chip with 64-bit architecture, embedded m8 motion coprocessor||||16gb||138.0 millimetre||||67.0 millimetre||apple||||iphone 6s||7.0 millimetre||||<http://schema.org/Product>||ios 9||4.7 in||silver||||||n/a||||||http://www.tesco.com/direct/tesco-mobile-iphone-6s-16gb-silver/291-7376.prd?pagelevel=&skuid=291-7376||||
http://dws.products.wdc/noded3880d9e2ea9412868bc4d9705a8150||ebay.com1.warc.nq.gz||||715660702866||1810 mah||4.55 oz||unlocked||||||64gb||2.64 in||||0.27 in||apple||1334x750||iphone 6||5.44 in||smartphone||<http://schema.org/Product>||ios 8, upgradable to ios 8.4||4.7 in||gold||||8 mp||1gb||||does not apply||http://www.ebay.com/itm/new-in-box-apple-iphone-6-64gb-gold-unlocked-smartphone-/391366911130?hash=item5b1f49249a:g:qcmaaoswfnfv-ykm||||
http://dws.products.wdc/nodebaaf4bc959b7b3609ee923361dff79||tesco.com0.warc.nq.gz||||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||purple||||||||||||http://www.tesco.com/direct/white-diamonds-iphone-6-liquid-clip-case-purple/283-4309.prd?pagelevel=&skuid=283-4309||||
http://dws.products.wdc/node2f4dbc4e6e56e69a122962306b57d4e||shop.com0.warc.nq.gz||||||||||||||||64gb||||||||apple||||iphone 6 plus||||phone||<http://schema.org/Product>||ios8||||||||||||||||http://www.shop.com/apple+iphone+6s+plus+64gb+space+gray+sprint+-1104467534-o+.xhtml||||
http://dws.products.wdc/node1e6aba44816727716263d2571fb6c6be||shop.com0.warc.nq.gz||||||||||||||||||||||||samsung||||galaxy s6 edge||||||<http://schema.org/Product>||||5.1 in||||||16 mp||||||g925f||http://www.shop.com/samsung+galaxy+s6+edge+sm+g925f+64gb+factory+unlocked+white+g925f-1389919380-p+.xhtml||||
http://dws.products.wdc/node82779eee11650dc1936d7f3617e5e2||ebay.com1.warc.nq.gz||||130002076618, 885909528912||1432mah||4.9 oz||verizon||||||16gb||2.31 in||||0.37 in.||apple||960 x 640 pixels||iphone 4s||4.5 in.||smartphone||<http://schema.org/Product>||||3.5 in||white||||8 mp||||||md277ll/a||http://www.ebay.com/itm/apple-iphone-4s-16gb-white-verizon-smartphone-/131720258322?hash=item1eab23a312:g:argaaoswx~dwqrrr||||
http://dws.products.wdc/node1740932fca9ef381613fde515ccb57f5||shop.com0.warc.nq.gz||||||||||||||||||||||||boudyguadz||||||||guard||<http://schema.org/Product>||||||gold||||||||||||http://www.shop.com/bodyguardz+pure+screenguardz+express+align+for+lg+g4-1350952513-p+.xhtml||||
http://dws.products.wdc/node7cce1bd4b5ff52c949a44083a2a81e8b||ebay.com0.warc.nq.gz||||||||||||||||8gb||||||||apple||||iphone 4||||||<http://schema.org/Product>||||||black||||||||does not apply||iphone 4||http://www.ebay.com/itm/apple-iphone-4-8gb-factory-unlocked-smartphone-at-t-black-/111889752752?hash=item1a0d2622b0:g:j2iaaosw5dnwq9oh||||
http://dws.products.wdc/node9a9c8d58b92aecefe4201d66322d8dbb||bestbuy.com0.warc.nq.gz||||||||||at&t||||||32gb||||||||samsung||||galaxy s6 edge||||phone||<http://schema.org/Product>||||||sapphire||||||||||||http://www.bestbuy.com/site/samsung-galaxy-s6-edge-4g-with-32gb-memory-cell-phone-black-sapphire-at-t/4405059.p?id=1219627836767&skuid=4405059||||
http://dws.products.wdc/node18f2336772c2a3d7d4d9e74a76498b98||ebay.com0.warc.nq.gz||||||2840 mah||5.54 oz||unlocked||||||32gb||2.74 in||||0.38 in||htc||||one m9||5.69 in||smartphone||<http://schema.org/Product>||||5 in||gold on silver||||20 mp||||||||http://www.ebay.com/itm/neverlocked-htc-one-m9-sim-free-32gb-gold-on-silver-unlocked-/131707074852?hash=item1eaa5a7924:g:o1iaaoswa-dwoonv||||
http://dws.products.wdc/node29bba9a912ff3d8877cca9fe5c63cd||shop.com0.warc.nq.gz||||||||||||dual core||1 mp||64gb||||||||apple||||||||||<http://schema.org/Product>||||4.7 in||||||8 mp||1gb||||||http://www.shop.com/apple+iphone+6+64gb+space+gray+sprint+-1077785323-o+.xhtml||||
http://dws.products.wdc/node76a147bfac60bead458fdcf84b8b81e0||ebay.com0.warc.nq.gz||||||||||||||||16gb||||||||apple||||iphone 4||||||<http://schema.org/Product>||ios - apple||3.5 in||||||640 x 960 pixels||||||mc678ll/a||http://www.ebay.com/itm/apple-iphone-4-16gb-verizon-page-plus-straighttalk-ios-mc678ll-a-black-white-/381470552059?var=&hash=item58d16aaffb:m:ma1ot1ddhk1ewhnds8lovug||||
http://dws.products.wdc/node9fd3723fb7adfff3c954b41bb3962f4||samsclub.com0.warc.nq.gz||||||||||sprint||||||||||||||samsung||||galaxy s6 edge||||||<http://schema.org/Product>||||||||||||||||||http://www.samsclub.com/sams/project-6-edge-32gb-spr/prod17510496.ip||||
http://dws.products.wdc/node3079fc47eb5938375a9c50338128636d||aliexpress.com0.warc.nq.gz||||||||||||||||||||||||nillkin||||||||protector||<http://schema.org/Product>||||||||||||||||||http://www.aliexpress.com/item/2015-huawei-nexus-6p-cover-nillkin-super-frosted-shield-case-back-cover-for-google-huawei-nexus/32556521042.html?ws_ab_test=searchweb201556_6%2csearchweb201644_2_505_506_503_504_502_10001_10002_10016_10017_10010_10005_10011_10006_10003_10004_10009_10008%2csearchweb201560_3%2csearchweb1451318400_-1%2csearchweb1451318411_6452&btsid=68aa926b-1c91-41d7-9a35-6cf6ac64aa34&_escaped_fragment_=||||
http://dws.products.wdc/node12b450a88f0d6b897758f676414c61||ebay.com0.warc.nq.gz||||||||||t-mobile||||||32gb||||||||htc||||one m9||||||<http://schema.org/Product>||||||gold||||||||||opja120||http://www.ebay.com/itm/refurbished-htc-one-m9-32gb-opja120-gold-t-mobile-smartphone-/131700426135?hash=item1ea9f50597:g:crgaaoswwphwls-o||||
http://dws.products.wdc/node683fccef2f7e2c4edc59f943b83a||ebay.com1.warc.nq.gz||||400035623791, 885909528905||1432mah||4.9 oz||verizon||||||16gb||2.31 in||||0.37 in||apple||960 x 640 pixels||iphone 4s||4.5 in.||smartphone||<http://schema.org/Product>||||3.5 in||black||||8 mp||||||md276ll/a||http://www.ebay.com/itm/apple-iphone-4s-16gb-black-verizon-smartphone-no-wifi-/201517895502?hash=item2eeb670f4e:g:cn0aaoswx~dwq5h5||||
http://dws.products.wdc/node15e565d029457a98fee3de1ce7d5191c||ebay.com1.warc.nq.gz||||885909950744||1810mah||4.55 oz||t-mobile||||||16gb||2.64 in||||0.27 in||apple||1334x750||iphone 6||5.44 in.||smartphone||<http://schema.org/Product>||ios - apple||4.7 in||space gray||||8 mp||||||mg542ll/a||http://www.ebay.com/itm/new-apple-iphone-6-space-grey-16gb-smartphone-t-mobile-unlocked-/252277223308?hash=item3abce4ef8c:g:ccmaaosw5vfwqgzk||||
http://dws.products.wdc/nodefc31b5e0622922f243defd23731c297b||aliexpress.com0.warc.nq.gz||||||||||||||||||||||||||||||||film||<http://schema.org/Product>||||||||||||||||||http://www.aliexpress.com/item/for-google-nexus-6p-screen-protector-0-26mm-front-premium-tempered-glass-for-huawei-nexus-6p/32507198359.html?ws_ab_test=searchweb201556_6%2csearchweb201644_4_505_506_503_504_502_10001_10002_10016_10017_10010_10005_10011_10006_10003_10004_10009_10008%2csearchweb201560_8%2csearchweb1451318400_-1%2csearchweb1451318411_6451&btsid=9ef35790-f722-4181-ab5c-e4d8d4f987e8&_escaped_fragment_=||||
http://dws.products.wdc/node2b17453cf8fd23620f38dc92e2b515||tesco.com0.warc.nq.gz||||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||grey||||||||||||http://www.tesco.com/direct/pro-tec-iphone-6-flexi-tpu-smokey/547-0125.prd?pagelevel=&skuid=547-0125||||
http://dws.products.wdc/node416683db80c96c04c568bd210f7cb||ebay.com0.warc.nq.gz||||885909537969||1432 mah||4.9 oz||factory unlocked||||||32gb||2.31 in||||0.37 in.||apple||||iphone 4s||4.5 in||smartphone||<http://schema.org/Product>||ios - apple||3.5 in||black||||8 mp||||||md241ll/a||http://www.ebay.com/itm/new-apple-iphone-4s-md243ll-factory-unlocked-32gb-free-shipping-no-box-/221988043377?hash=item33af84ba71:g:gxwaaosw8-twztkz||||
http://dws.products.wdc/node2e45d95040ac26676b64b0ceb2acb3b||alibaba.com0.warc.nq.gz||guangdong, china (mainland)||||||||||||||||||||||apple iphones||||||||||<http://schema.org/Product>||||||fashionable,special liquid design and||||||||||||http://www.alibaba.com/product-detail/2016-newest-perfume-liquid-phone-case_1523423485.html||||
http://dws.products.wdc/node5381d22d2c75193a2b5624276b66d2||ebay.com0.warc.nq.gz||||821793044329||2840mah||5.54 oz||unlocked||||||32gb||2.74 in||||0.38 in||htc||||one m9||5.69 in||smartphone||<http://schema.org/Product>||android||5 in||gold on silver||||20 mp||||||ebay_htconem932gbgoldonsilverunlocked||http://www.ebay.com/itm/brand-new-factory-unlocked-htc-one-m9-32gb-gsm-overseas-world-gold-on-silver/151964421375?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d34859%26meid%3d54bc2efb96e34019811df5114e0a3b33%26pid%3d100005%26rk%3d2%26rkt%3d6%26sd%3d262268467943&rt=nc||||
http://dws.products.wdc/nodef8ad5ee0be82c8b8356034bd5443702d||ebay.com0.warc.nq.gz||||||||||||dual core||||32gb||||||||nokia||||lumia 920||||||<http://schema.org/Product>||||4.5 in||||||8.7 mp||||899794011251||||http://www.ebay.com/itm/new-nokia-lumia-920-rm-820-32gb-unlocked-gsm-4g-lte-windows-8-phone-red-/351375342524?hash=item51cf9a3bbc:g:bkyaaoswbllvmwna||||
http://dws.products.wdc/node71c3a3524684a71acab08f52845f3824||ebay.com0.warc.nq.gz||||||||||||||||32gb||||||||htc||||one m9+||||||<http://schema.org/Product>||android||||gold||||||||does not apply||htc one m9 plus +||http://www.ebay.com/itm/htc-one-m9-plus-gold-32gb-4g-lte-factory-unlocked-smartphone-/262103492627?hash=item3d0695e813:g:ju0aaoswlqfv7zf9||||
http://dws.products.wdc/node40257d89f7477eb01355d8578d65517e||ebay.com10.warc.nq.gz||||||||||at&t||||||64gb||||||||samsung||||galaxy s6 edge||||||<http://schema.org/Product>||||5.1 in||white||||||||||||http://www.ebay.com/itm/unlocked-samsung-galaxy-s6-edge-at-t-sm-g925a-64-gb-white-/121814948909?hash=item1c5cbc9c2d:g:dnaaaosw14xwoqnz||||
http://dws.products.wdc/node8030f6e6c6e7359ad0cdb6916c4f34ba||ebay.com0.warc.nq.gz||||||2840mah||5.54 oz||verizon||||||32gb||2.74 in||||0.38 in||htc||||one m9||5.69 in||smartphone||<http://schema.org/Product>||||5 in||gunmetal gray||||20 mp||||||ebay_htconem932gbgunmetalgrayverizon||http://www.ebay.com/itm/unlocked-htc-one-m9-32gb-gunmetal-gray-verizon-smartphone-great-cond-/121884584349?hash=item1c60e3299d:g:f3maaoswvulwq91f||||
http://dws.products.wdc/node2a6112c2a1041b3823038bee6b4ddb7||ebay.com0.warc.nq.gz||||||||||||quad core||||32gb||||||||htc||||one m7||||||<http://schema.org/Product>||||4.3 in||silver||||4 mp||||61021463222||pn07130||http://www.ebay.com/itm/htc-one-m7-pn07130-silver-32-gb-t-mobile-good-imei-cracked-phone-for-p-/172071403475?hash=item2810413fd3:g:mycaaoswlnlwotjj||||
http://dws.products.wdc/node33af25172e0cbd5c767159c4b3478eb||ebay.com0.warc.nq.gz||||||||||||||||64gb||||||||htc||||nexus 6p||||||<http://schema.org/Product>||android||5.7 in||silver||||||3gb||||does not apply||http://www.ebay.com/itm/huawei-nexus-6p-64gb-5-7-12mp-octa-core-3gb-aluminum-android-phone-usa-freeship-/272085043506?hash=item3f59884932:g:82maaoswudlweknk||||
http://dws.products.wdc/node153d5c1cdebbda0c29288f27148b35||ebay.com0.warc.nq.gz||||||||||||||||16gb||||||||samsung||||galaxy s4 mini||||||<http://schema.org/Product>||||||black mist||||8 mp||||887276857329||sgh-i257zkaatt||http://www.ebay.com/itm/samsung-galaxy-s4-mini-sgh-i257-16gb-gsm-unlocked-smartphone-/151973396290?hash=item236251ff42:g:lvsaaoswktlws3u~||||
http://dws.products.wdc/node21438470945bd77a7432fbe649396875||tesco.com0.warc.nq.gz||||||n/a||0.14 kilogram||||a9 chip with 64-bit architecture, embedded m9 motion coprocessor||||64gb||138.0 millimetre||||67.0 millimetre||||||iphone 6s||7.0 millimetre||||<http://schema.org/Product>||ios 9||4.7 in||gold||||||n/a||||||http://www.tesco.com/direct/tesco-mobile-iphone-6s-64gb-gold/295-7063.prd?pagelevel=&skuid=295-7063||||
http://dws.products.wdc/nodeaa8c9950658bfdfb1a83e8431aacd7d||walmart.com0.warc.nq.gz||||||||||t-mobile||||||16gb||||||||samsung||||galaxy s4||||||<http://schema.org/Product>||android||5 in||||6.50 x 3.94 x 2.13 in||13 mp||||||610214635082||http://www.walmart.com/ip/t-mobile-samsung-galaxy-s4-prepaid-smartphone/43388843||||
http://dws.products.wdc/node90c755270889ce744ea484373cef33||ebay.com0.warc.nq.gz||||||1420 mah||4.8 oz||||||||8gb||2.31 in||||0.37 in||apple||960 x 640 pixels||iphone 4||4.5 in||||<http://schema.org/Product>||||3.5 in||white||||5 mp||||400038152724, 885909543274||md440ll/a||http://www.ebay.com/itm/apple-iphone-4-8gb-white-verizon-smartphone-power-button-not-working-/131711094205?hash=item1eaa97cdbd:g:kgmaaoswp5jwz24j||||
http://dws.products.wdc/node9ec6cc3facedb6ae7b28f887b77da4d||ebay.com0.warc.nq.gz||||||||||||||||||||||||not specified||||14-401-1550||||||<http://schema.org/Product>||||||||||||||does not apply||does not apply||http://www.ebay.com/itm/ear-speaker-ear-piece-listening-replacement-part-for-htc-one-m9-/252276153512?hash=item3abcd49ca8:g:e58aaoswl7vwsk2a||||
http://dws.products.wdc/nodeffa8f4040d01e137ff1296e194c81d4||ebay.com0.warc.nq.gz||||||||||||||||16gb||||||||apple||||iphone 4||||||<http://schema.org/Product>||ios - apple||||black||||||||||mc603ll/a||http://www.ebay.com/itm/new-apple-iphone-4-16gb-black-factory-unlocked-gsm-smartphone-/301799238741?hash=item4644a2ec55:g:gkgaaosw9r1v9hon||||
http://dws.products.wdc/node29d5b7ae794488411b59e6c7ab34a644||tesco.com0.warc.nq.gz||||||n/a||0.19 kilogram||||a9 chip with 64-bit architecture, embedded m9 motion coprocessor||||16gb||158.0 millimetre||||78.0 millimetre||apple||||iphone 6 plus||7.0 millimetre||||<http://schema.org/Product>||ios 8||5.5 in||silver||||||n/a||||||http://www.tesco.com/direct/iphone-6-plus-16gb-silver/601-2429.prd?pagelevel=&skuid=601-2429||||
http://dws.products.wdc/noded1493e47de4518724f807134b3d65186||ebay.com10.warc.nq.gz||||||||||||||||32gb||||||||samsung||||galaxy s6 edge||||||<http://schema.org/Product>||||||||||||||||||http://www.ebay.com/itm/sprint-samsung-galaxy-s6-edge-32gb-/221945249098?hash=item33acf7bd4a:g:rocaaoswfgnwse9f||||
http://dws.products.wdc/node47f7e5e3393d8289421c63badb307f||ebay.com0.warc.nq.gz||china||||2600 mah||5.64 oz||||quad core||||32gb||2.78 in||||0.37 in||htc||1920 x 1080||one m8||5.76 in.||||<http://schema.org/Product>||windows 8.1||5 in||gunmetal gray||||5 mp||2gb||821793042189||htc6995lvw||http://www.ebay.com/itm/new-other-gunmetal-gray-verizon-htc-one-1-m8-android-camera-phone-l791-b-/111896266208?hash=item1a0d8985e0:g:f8uaaoswgotwostu||||
http://dws.products.wdc/node102cd6767c8443e43c59b5522f3fc426||microcenter.com0.warc.nq.gz||||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||gray||||||||799559593674||||http://www.microcenter.com/product/437755/iscrews_iphone_screws_tray_-_iphone_5s||||
http://dws.products.wdc/nodeb1d0ceb9797fd339c5f7c04aa76a7af1||ebay.com0.warc.nq.gz||||821793045111||2840mah||5.54 oz||at&t||||||32gb||2.74 in||||0.38 in||htc||||one m9||5.69 in||smartphone||<http://schema.org/Product>||||5 in||gunmetal gray||||20 mp||||||6735a||http://www.ebay.com/itm/unlocked-htc-one-m9-32gb-gray-at-t-t-mobile-cricket-straight-talk-h2o-lte-used-/222013358552?hash=item33b10701d8:g:paqaaoswx~dws3ge||||
http://dws.products.wdc/nodedd66945c85661bb12de4593bf52c49b||ebay.com1.warc.nq.gz||||885909971671||2915mah||6.07 oz||sprint||||||64gb||3.06 in||||0.28 in||apple||1920 x 1080||iphone 6 plus||6.22 in||smartphone||<http://schema.org/Product>||||5.5 in||space gray||||8 mp||||||mgd22ll/a||http://www.ebay.com/itm/new-apple-iphone-6-plus-64gb-space-gray-sprint-smartphone/172078881954?_trksid=p2047675.c100011.m1850&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d20140602152332%26meid%3d40c6a75e3af049e18e73d90e40b9125d%26pid%3d100011%26rk%3d6%26rkt%3d10%26sd%3d111890691479||||
http://dws.products.wdc/nodebcf990b870829541ae6983229218e18d||ebay.com0.warc.nq.gz||||||1810mah||4.55 oz||||||||16gb||2.64 in.||||0.27 in.||apple||1334x750||iphone 6||5.44 in||||<http://schema.org/Product>||||4.7 in||silver||||8 mp||||885909950669||mg4p2ll/a||http://www.ebay.com/itm/apple-iphone-6-latest-model-16gb-silver-at-t-smartphone-/151970593077?hash=item2362273935:g:ruaaaosw5dnwsckd||||
