subject_id||<http://schema.org/Product/warc>||<http://schema.org/Product/product_gtin>||<http://schema.org/Product/cables_included>||<http://schema.org/Product/weight>||<http://schema.org/Product/sensitivity>||<http://schema.org/Product/series>||<http://schema.org/Product/model>||<http://schema.org/Product/headphones_form_factor>||<http://schema.org/Product/width>||<http://schema.org/Product/brand>||<http://schema.org/Product/thd>||<http://schema.org/Product/microphone_sensitivity>||<http://schema.org/Product/max_input_power>||<http://schema.org/Product/product_type>||<http://schema.org/Product/included_accessories>||<http://schema.org/Product/height>||<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>||<http://schema.org/Product/warranty>||<http://schema.org/Product/headphones_technology>||<http://schema.org/Product/color>||<http://schema.org/Product/frequency_response>||<http://schema.org/Product/impedance>||<http://schema.org/Product/compatibility>||<http://schema.org/Product/magnet_material>||<http://schema.org/Product/connectivity_technology>||<http://schema.org/Product/headphones_cup_type>||<http://schema.org/Product/mpn>||<http://schema.org/Product/microphone>||<http://schema.org/Product/url>||
http://dws.products.wdc/node3f7b7b1365475c8b34ce7bb33eccba1||newegg.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.newegg.com/product/product.aspx?item=9sia4p02r34171&cm_re=shure_srh440-_-0th-0009-00044-_-product||
http://dws.products.wdc/node1ffbd0ed28fb935e64d9030c53ecafc||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/replacement-cable-for-shure-se535-se425-se315-se215-se846-ultimate-ears-ue900-/311356046769?hash=item487e443db1:g:r3saaoswpddvtsrv||
http://dws.products.wdc/nodeb79d64be2b85c1634da111ed37e5e9b||ebay.com0.warc.nq.gz||||||||||||2458z00230||headband||||akg||||||||||||||<http://schema.org/Product>||||||multi-color||||62 ohms||||||||||||||http://www.ebay.com/itm/akg-q-701-quincy-jones-signature-reference-class-premium-headphones-black-/321942632048?hash=item4af546b670:g:8noaaoswz1lwfnqr||
http://dws.products.wdc/node726a28ffecc2617a917f919c2b6d5ebd||ebay.com0.warc.nq.gz||||||||||||srh440||||||shure||||||||||||||<http://schema.org/Product>||||||||||||||||||||does not apply||||http://www.ebay.com/itm/nice-set-of-shure-srh440-headphones/331779384357?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d35696%26meid%3d46d5e98ad9964bfea86f04c6448b4fa9%26pid%3d100005%26rk%3d5%26rkt%3d6%26sd%3d301877567413&rt=nc||
http://dws.products.wdc/node25466414819ec921e9e6d3e2a973ac3a||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/black-replacement-ear-pads-cushions-for-shure-srh840-srh440-srh940-headphones-/201462791631?hash=item2ee81e3dcf:g:xnoaaoswajvupejy||
http://dws.products.wdc/node126a4d83ee65a7802197f87ead44e049||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||black||||||||||||||||||http://www.ebay.com/itm/2x-1-pair-ear-cushion-pads-replacement-for-sennheiser-hd515-hd555-hd595-hd518-/321813464266?hash=item4aed93c4ca:g:nyyaaoswz1lwfymy||
http://dws.products.wdc/node1dd3a71382fd4ecc7ed26dfea156a8||flipkart.com0.warc.nq.gz||does not apply||||8.3 oz||105 db||||||open-back dynamic||||akg||||||200 mw||||||||<http://schema.org/Product>||1 year seller warranty||||||10 hz to 39.8 khz||62 ohms||||||gold-plated stereo jack 1/8 in (3.5 mm) to 1/4 in (6.3 mm)||||does not apply||||http://www.flipkart.com/akg-k712-pro-2458z00140-over-the-ear-headphone/p/itmdxhnqhqnbgk34?pid=accdxhnjyrgcwnyh&ref=l%3a-960676693048539214&srno=p_1&query=akg+k712+pro&otracker=from-search||
http://dws.products.wdc/node853af0ebee8fd1cbacf674336131e83||ebay.com0.warc.nq.gz||||||||||||||||||male||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/one-pair-earphone-diy-custom-pin-adapter-for-shure-se215-se315-se425-se535-se846-/141864499861?hash=item2107c87a95:g:wmsaaosw1s9wg6fk||
http://dws.products.wdc/node2592dce727f1e3377acbd349ab57a272||ebay.com0.warc.nq.gz||||||||||||se215||||||shure||||||||||||||<http://schema.org/Product>||||single dynamic microdriver||||||||||||||||||||http://www.ebay.com/itm/new-shure-canal-type-high-sound-isolating-earphones-se215-black-se215-k-japan-/272117373825?hash=item3f5b759b81:g:d3gaaosw9r1wabxi||
http://dws.products.wdc/node6ab7d975bcdac6591b6bec64781d7ac9||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/black-replacement-ear-cushion-pads-ring-for-sennheiser-hd515-hd555-hd595-hd518-/331683508240?hash=item4d39e0b010:g:ahkaaoswaf5uzeaa||
http://dws.products.wdc/node24ac2feab77b4e882cf15af7ea8e86||newegg.com0.warc.nq.gz||||||28.80 ounces||||||momentum 2.0||nfc, headphone type - over the head ,  built-in mic ,  android ,  black, refresh rate - 16hz-22khz, series - sennheiser momentum, spl - 111 db, thd - <.05%, compatibility - ipod (any) ,  windows phone ,  ipad (any) ,  fabric - leatherette, headphone styles - on-ear, headphone features - bluetooth headphones ,  ipod ,  blackberry, plug type - 3.5mm, bluetooth - bluetooth 4.0 ,  with aptx ,  nfc headphones, color - black ,  mobile phone ready, headphone uses - audiophile ,  iphone (any) ,  cell phone, volume control - touch control, inline microphone - yes, audio accessories - headphones||||sennheiser||||||||||carrying case||||<http://schema.org/Product>||||||black||||||||||||||m2 oebt black||||http://www.newegg.com/product/product.aspx?item=n82e16826106762&cm_re=sennheiser-_-26-106-762-_-product||
http://dws.products.wdc/node9b668044cdf5d323b7934cf088a3a63||ebay.com0.warc.nq.gz||||||||||||does not apply||tool kit||||unbranded/generic||||||||||||||<http://schema.org/Product>||||||black||||||||||||||||||http://www.ebay.com/itm/2pc-sponge-ear-pads-replacement-for-grado-sr60-sr80-sr125-sr225-sr325-headphones/131556956382?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d35696%26meid%3d132c405df889492187de7b88b909c341%26pid%3d100005%26rk%3d3%26rkt%3d6%26sd%3d222023853838||
http://dws.products.wdc/node3337c982b6ce45a774dd18cd708763c||ebay.com0.warc.nq.gz||does not apply||||||||||k712 pro||ear-cup (over the ear)||||akg||||||||||||||<http://schema.org/Product>||||||black||||62ohm||||||||open-air type||does not apply||||http://www.ebay.com/itm/brand-new-akg-k712-pro-reference-studio-headphones/321983441271?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d35694%26meid%3d9ca16c81a423433dbb29d04d72fdd812%26pid%3d100005%26rk%3d2%26rkt%3d3%26sd%3d361477249563||
http://dws.products.wdc/node389187f53d6bac02c9da67d65c9b5c4||newegg.com0.warc.nq.gz||||||||||||y 23u||||||akg||||||10 mw||||||||<http://schema.org/Product>||||||||20hz-20khz||||||||||||||||http://www.newegg.com/product/product.aspx?item=9sia1j73my5733||
http://dws.products.wdc/node18cc84708e27347961dcfe4af9c97ea||ebay.com0.warc.nq.gz||||||||||||does not apply||replacement audio cable||||for shure se535 se425 se315 se215 se846||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/1-2m-3-5mm-replacement-audio-cable-code-for-shure-se535-se425-se315-se215-se846-/261949661210?var=&hash=item8290568218&vti=color%09blue||
http://dws.products.wdc/nodef3cd6c9aa2605dcce8af9178dba6242e||ebay.com0.warc.nq.gz||615104099692||||||103 db||||hd 650||headband||||sennheiser||||||||||||||<http://schema.org/Product>||||||black||||300 ohms||consumer headphones, studio/live monitoring headphones||||6.3mm (1/4in)||ear-pad (on the ear)||9969||||http://www.ebay.com/itm/new-sennheiser-hd-650-open-back-professional-headphones-titanium-silver-hd650-/331748894091?hash=item4d3dc6658b:g:ulkaaoswhabwjqbt||
http://dws.products.wdc/node3ead1b8c7cda565e69cf4a82407ba75b||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/hand-woven-pure-wool-washable-headband-cushion-for-akg-k701-k702-q701-rose/262215021683?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d35696%26meid%3d2eeb821b66bf45869ac9183e54a415fe%26pid%3d100005%26rk%3d3%26rkt%3d6%26sd%3d261445245520||
http://dws.products.wdc/node2fef6601230934ef3d791d169726213||ebay.com0.warc.nq.gz||||||||||||se425||||||shure||||||||||||||<http://schema.org/Product>||||||||||||||||3.5mm (1/8in)||||||||http://www.ebay.com/itm/shure-se425-sound-isolating-earphones-clear-/272080214178?hash=item3f593e98a2:g:qpyaaoswnyfwcva1||
http://dws.products.wdc/node5e36a283592ab5accfac566faa1332b||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/silver-plated-replacement-headphone-cable-fo-shure-se215-se315-se425-se535-se846-/351651400672?hash=item51e00e8be0:g:mymaaoswpcvvzicb||
http://dws.products.wdc/nodee685fd7f1970fcd086aad45a6a3ecc||ebay.com0.warc.nq.gz||||||||||||hd 650||headband||||sennheiser||||||||headphones||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/p/sennheiser-hd-650-headband-headphones-titanium/114518547?_trksid=p2047675.c100005.m1851&_trkparms=ao%3d1%26asc%3d35694%26meid%3da5f34caba36f48b4bec7372000cd8b63%26pid%3d100005%26||
http://dws.products.wdc/node544f4d2dffdea825bc54a6369add463||newegg.com0.warc.nq.gz||||||||||||momentum m2||||||sennheiser||||||||||carrying case||||<http://schema.org/Product>||||||white||||||||||||||m2 aeg ivory||||http://www.newegg.com/product/product.aspx?item=n82e16826106722&sortfield=0&summarytype=0&pagesize=10&selectedrating=-1&videoonlymark=false&isfeedbacktab=true||
http://dws.products.wdc/node995e432913c8e32f1bf7e8d3c91dfdd1||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/new-silver-plated-audio-upgrade-cable-for-sennheiser-hd650-hd600-hd580-headphone-/311317180814?var=&hash=item487bf3318e:m:mzo5yoexf9t4wxaoiladqjq||
http://dws.products.wdc/node54dff91418a8c3825088253d4998a4||ebay.com0.warc.nq.gz||||||||||||sr80e||||||grado||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/grado-sr80e-headphones-black-/201485848322?hash=item2ee97e0f02:g:cbmaaoswz1lwciw0||
http://dws.products.wdc/node3a9a9dc4c61838aae45f37c5f95e38b||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/audio-cable-cord-with-mic-remote-for-akg-k702-q701-k271s-k240s-k271mkii-k271-/141770475517?var=&hash=item21022dc7fd:m:mjeradwy6agp91khexazbia||
http://dws.products.wdc/nodea70c6cd942cacf2d46c4cb83ec91599||ebay.com0.warc.nq.gz||||||||||||srh440||||||shure||||||||||carrying pouch||||<http://schema.org/Product>||||||multicolor||||||||||||||||||http://www.ebay.com/itm/shure-srh440-professional-studio-headphones-in-original-box-great-condition-/172017446713?hash=item280d09ef39:g:0ecaaoswhcjwlwlf||
http://dws.products.wdc/nodea21ddf639cf87eca749a1c97524203a||bestbuy.com0.warc.nq.gz||||||||||||cx 3.00||earbud||||sennheiser||||||||headphones||||||<http://schema.org/Product>||||||white||||||||||||||||||http://www.bestbuy.com/site/sennheiser-cx-3-00-earbud-headphones-white/9068004.p?id=1219389044537&skuid=9068004||
http://dws.products.wdc/node88fbbca9e886eed894f2228fa72e2a2||ebay.com0.warc.nq.gz||||||||||||k612 pro||on-ear headphones||||akg||||||||||||||<http://schema.org/Product>||||||||||120 ohms||||||||||||||http://www.ebay.com/itm/akg-pro-audio-k612pro-reference-studio-headphone-/221954652917?hash=item33ad873af5:g:xkmaaoswkipwcwcw||
http://dws.products.wdc/node199260a0a55475fc5159a9e0f97682f4||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/cable-with-remote-mic-for-akg-k702-k271s-k240s-k271mkii-k271-k240-headphones-/201379940626?var=&hash=item2ee32e0912:m:m31otjix9n1fjii-ts4n8fq||
http://dws.products.wdc/node4d6e5e3f317132ee28c01bbd5250b6||newegg.com0.warc.nq.gz||||||||||||srh440||headphone||||shure||||||||||||||<http://schema.org/Product>||||over-the-head||||||||||||mini-phone||||||||http://www.newegg.com/product/product.aspx?item=9sia4p01pf0261&sortfield=0&summarytype=0&pagesize=10&selectedrating=-1&videoonlymark=false&isfeedbacktab=true||
http://dws.products.wdc/nodec543a3485d54b8a8f325d8e65515d66||ebay.com0.warc.nq.gz||615104099692||||||103 db||||hd 650||||||sennheiser||||||||||||||<http://schema.org/Product>||1 year seller warranty||||black||||300 ohms||consumer headphones, studio/live monitoring headphones||||||||9969||||http://www.ebay.com/itm/new-sennheiser-hd-650-reference-class-stereo-headphones-hd650/262158369416?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d34862%26meid%3d09492644972b41519503a9b0a1e01d2b%26pid%3d100005%26rk%3d2%26rkt%3d2%26sd%3d121898835135||
http://dws.products.wdc/node498617bf1870933e16a28c147983204b||newegg.com0.warc.nq.gz||||||7.80 oz. w/o cable||102 db||||hd 280||stereo / dj||||sennheiser||0.1%||||||||||||<http://schema.org/Product>||||circumaural||black||8hz-25khz||||||||3.5mm/ 6.3mm||||||||http://www.newegg.com/product/product.aspx?item=n82e16826106328&cm_re=sennheiser-_-26-106-328-_-product||
http://dws.products.wdc/node84350ef776d74bf5279ffa6c77b95||walmart.com0.warc.nq.gz||||||||||||momentum 2.0||on-ear||||sennheiser||||||||headphones||||||<http://schema.org/Product>||||||ivory||||||||||wireless||||||||http://www.walmart.com/ip/sennheiser-m2-oew-ivory-momentum-2.0-wireless-on-ear-headphones/44788695?action=product_interest&action_type=title&item_id=44788695&placement_id=irs-2-m2&strategy=pwvav&visitor_id&category=&client_guid=26d549d6-38c6-44e7-a0ae-d4d3908fe98d&customer_id_enc&config_id=2&parent_item_id=43415956&parent_anchor_item_id=43415956&guid=6fd34658-374a-4589-a7ac-8c7d2648aa7b&bucket_id=irsbucketdefault&beacon_version=1.0.1&findingmethod=p13n||
http://dws.products.wdc/nodede6b303ce8a38e976d9f2af76da4b4c||ebay.com0.warc.nq.gz||||||||||||momentum 2.0||headband||||sennheiser||||||||||carry bag/case, extension cable||||<http://schema.org/Product>||||||ivory||||||||||wired||||m2aegivory||||http://www.ebay.com/itm/bnib-sennheiser-ivory-momentum-2-0-on-ear-headphones-for-android-new-/252293447930?hash=item3abddc80fa:g:8qyaaoswe7bwx9lb||
http://dws.products.wdc/node41f0fd946591af65d136c01ac7996a20||ebay.com0.warc.nq.gz||does not apply||||||||||ath-m50x||||||audio-technica||||||||||||||<http://schema.org/Product>||||||||||||||||||||m50x||||http://www.ebay.com/itm/brand-new-sealed-audio-technica-ath-m50x-professional-monitor-headphones-blk/331780823132?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d34859%26meid%3de29c37ea13cf4e039a2def6010e27485%26pid%3d100005%26rk%3d4%26rkt%3d6%26sd%3d262288576375&rt=nc||
http://dws.products.wdc/node2d9918466499e93fa8daf91b686ad1dc||newegg.com0.warc.nq.gz||||||9.6 oz. (260 g) w/o cable||112db s.p.l. at 1khz||||hd 558||headphone||||sennheiser||0.2%||||||||||||<http://schema.org/Product>||||around ear||black||15hz-28khz||||||||6.3mm||||||||http://www.newegg.com/product/product.aspx?item=9sia1d914d2993||
http://dws.products.wdc/node56e878d88313a8ba25208b3c9765d51a||ebay.com0.warc.nq.gz||||||||||||hd 650||headband||||sennheiser||||||||||||||<http://schema.org/Product>||||||black||||300ohm||||||6.3mm (1/4in)||||hd 9969||||http://www.ebay.com/itm/sennheiser-hd-650-open-back-professional-headband-headphone-titanium-/172054697617?hash=item280f425691:g:jpiaaoswyihwjuri||
http://dws.products.wdc/nodec6b3fdd4f0ac126a096cd23e55cec14||newegg.com0.warc.nq.gz||||||3||112db s.p.l. at 1khz||momentum on-ear||momentum 2.0||headphones and accessories||||sennheiser||0.5%||-- 44 db v/pa||||||||||<http://schema.org/Product>||||over-the-head||black||16hz-22khz||||||||3.5mm||||||||http://www.newegg.com/product/product.aspx?item=n82e16826106772&cm_re=sennheiser_momentum_2.0-_-26-106-772-_-product||
http://dws.products.wdc/node238a9011a08826fa96bb6db22bed302a||newegg.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.newegg.com/product/product.aspx?item=9sia27w16c2651&cm_re=sennheiser_hd_650-_-9sia27w16c2651-_-product||
http://dws.products.wdc/node1b9fea52f3d9d5b359dbca5794f2cd15||ebay.com0.warc.nq.gz||||||||||||does not apply||replacement audio cable||||for shure se535 se425 se315 se215 se846||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/1-2m-3-5mm-replacement-audio-cable-code-for-shure-se535-se425-se315-se215-se846-/261949661210?var=&hash=item3cfd6aa01a:m:m2h-i06ag5lqfzcz7k7a2la||
http://dws.products.wdc/nodefe1ff1c52972c21e4bf68cf6a34d7660||walmart.com1.warc.nq.gz||||||||||||se215||||||shure||||||||earphones||||||<http://schema.org/Product>||2-year limited||single dynamic microdriver||black||||||||||||||||||http://www.walmart.com/ip/shure-se215-k-live-sound-monitor-black/41764775||
http://dws.products.wdc/nodeb78919aeabf3a0486034dcbdf6e1d88||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/9cm-inside-foam-sponge-pads-for-sennheiser-hd250-hd540-hd560-hd560ii-koss-ur20-/331623910753?hash=item4d36534d61:g:jmuaaosw8cnusjwp||
http://dws.products.wdc/nodefea5c5e1cb5b541451f94aec7294c61||ebay.com0.warc.nq.gz||615104099692||||||103 db||||hd 650||headband||||sennheiser||||||||||||||<http://schema.org/Product>||1 year seller warranty||||black||||300 ohms||consumer headphones, studio/live monitoring headphones||||6.3mm (1/4 in)||||9969||||http://www.ebay.com/itm/new-sennheiser-hd-650-reference-class-stereo-headphones-hd650/262158369416?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d20150604093004%26meid%3dece3bd944c5e4338a7a0e356aad2dce8%26pid%3d100005%26rk%3d4%26rkt%3d6%26sd%3d221999360572&rt=nc||
http://dws.products.wdc/nodebe39ef315530b6f38660e988d33e6acb||newegg.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.newegg.com/product/product.aspx?item=9sia1g52ca2498&tpk=audio%20technica%20microphone||
http://dws.products.wdc/node7c3fa83e8b31a74791a341408221d9a7||ebay.com0.warc.nq.gz||||||||||||k612 pro||ear-cup (over the ear)||||akg||||||||||||||<http://schema.org/Product>||||||black||||120 ohms||||||||||||||http://www.ebay.com/itm/akg-k612-pro-reference-studio-headphones-new-in-box-/252264817453?hash=item3abc27a32d:g:tnwaaoswv-nwuleq||
http://dws.products.wdc/nodeccdaef8085762db090947442e234a97||walmart.com1.warc.nq.gz||||||||123 db||||se215||l bending||1.2m||shure||||||||earphones||||||<http://schema.org/Product>||||dynamic||||||9 ohms||||||3.5mmis||in-earline||||||http://www.walmart.com/ip/shure-se215-cl-sound-isolating-earphones/41771965||
http://dws.products.wdc/node7976be19557675c6353f74bbda635fb||ebay.com0.warc.nq.gz||||||||||||ath-m50x||||||audio-technica||||||||||carrying case, replacement cable||||<http://schema.org/Product>||||||||||||||||||||ath-m50xdg||||http://www.ebay.com/itm/rare-audio-technica-ath-m50x-dg-limited-edition-dark-green-studio-headphones-new/191722912844?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d35558%26meid%3df30daff444e549d29bd8c8de40cca3d0%26pid%3d100005%26rk%3d1%26rkt%3d6%26sd%3d262296982956&rt=nc||
http://dws.products.wdc/node9c816630839ab9e53c1d3f89acbe3e||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/120cm-cable-volume-remote-mic-for-iphone-to-sennheiser-hd598-hd558-hd518-hd595-/261280639444?var=&hash=item3cd58a29d4:m:m1-ockpamypffdule2phxsg||
http://dws.products.wdc/nodec0f32c67dddc683b31681cc32ce597ed||ebay.com0.warc.nq.gz||does not apply||||||||||srh215||headphone||||shure||||||||||||||<http://schema.org/Product>||||over-the-head||||||||||||mini-phone||||se215-k||||http://www.ebay.com/itm/new-shure-se215-sound-isolating-earphones-black-/291687698290?hash=item43e9f10f72:g:3m0aaoswdujwxwj7||
http://dws.products.wdc/node28c1a51f255523de4cd7872126673||ebay.com0.warc.nq.gz||||||||||||k240||||||akg||||||||||||||<http://schema.org/Product>||||||||||600 ohms||||||||||does not apply||||http://www.ebay.com/itm/akg-k240-semi-open-pro-studio-headphones-55-ohms-euc-/252255390383?hash=item3abb97caaf:g:jnsaaoswqybwnfkq||
http://dws.products.wdc/nodec2ade743e3a5bb4bc6775a26994b9212||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/16pcs-xs-s-m-l-comfort-eartips-for-sennheiser-cx-3-00-earphones-nsen-cl-b-/321780986885?hash=item4aeba43405:g:rbkaaoswkrhveufm||
http://dws.products.wdc/node3d1f32ae23efd7279de8725e7ae91bd||ebay.com0.warc.nq.gz||||||||||||cx 685||water resistant||||sennheiser||||||||||||||<http://schema.org/Product>||||||||||||||||3.5mm (1/8in)||||||||http://www.ebay.com/itm/read-adidas-cx-685-sports-water-sweat-resistant-in-ear-headphones-sennheiser-b4-/222023644835?hash=item33b1a3f6a3:g:kvsaaoswzgrwwanu||
http://dws.products.wdc/node42e6635c586f8cc77473aae915a629||ebay.com0.warc.nq.gz||||||||109 db||||se425||||||||||||||||||||<http://schema.org/Product>||||||||||22 ohms||studio/live monitoring headphones||||||||se425-cl||||http://www.ebay.com/p/shure-se425-headphones-clear/114715242?_trksid=p2047675.c100005.m1851&_trkparms=ao%3d1%26asc%3d35694%26meid%3dde3ef85cdd2f4949b1463bf5ca81d192%26pid%3d100005%26||
