"birthdate","deathdate","gender","label","work","subject_id"
"1931-03-16","2009-05-02","male","Augusto Boal","Méthode Boal de théâtre et de thérapie : (l'Arc-en-ciel du désir)	 Teatro de oprimido y otras poéticas políticas.	 Técnicas latinoamericanas de teatro popular	 Boal, Augusto.	 Jeux pour acteurs et non-acteurs	 Estética do oprimido : reflexões errantes sobre o pensamento do ponto de vista estético e não científico	 Duzentos exercicios e jogos para o actor e o nao actor com ganas de dizer algo através do teatro	 Murro em ponta de faca	 Teatro legislativo	 Hamlet e o filho do padeiro : memórias imaginadas","http://viaf.org/viaf/73831435"
"","1572","","Ben Jonson","","http://viaf.org/viaf/56611738"
"1878-01-06","1967-07-22","male","Carl Sandburg","Abraham Lincoln; the prairie years and the war years	 Sandburg, Carl	 Good morning, America	 Sandburg, Carl,	 Poems.	 Smoke and steel	 Rootabaga stories	 People, yes","http://viaf.org/viaf/61588662"
"1929-01-02","1967-02-21","male","Charles Beaumont","Short stories.	 Yonder stories of fantasy and science fiction	 Hunger and other stories","http://viaf.org/viaf/10043464"
"1922-09-19","2002-04-15","male","Damon Knight","Nebula award stories	 People maker.] a for anything	 Mind switch	 Hell's pavement	 Knight, Damon,	 In deep	 Rithian terror	 Man in the tree	 Far out : 13 science fiction stories	 Beyond the barrier","http://viaf.org/viaf/62070456"
"1931-07-07","2009-06-02","male","David Eddings","Eddings, David.	 Castle of wizardry	 Diamond throne	 Eddings, David	 Queen of sorcery	 Elenium	 Guardians of the west	 Magicians Gambit	 Sapphire rose	 Demon lord of Karanda","http://viaf.org/viaf/111612308"
"1895-11-01","1974-10-28","male","David Jones","Jones, David Michael	 Jones	 In parenthesis","http://viaf.org/viaf/89122331"
"1952-11-28","","male","David Zindell","Zindell, David","http://viaf.org/viaf/32031246"
"1934-08-16","2011-03-26","female","Diana Wynne Jones","Witch week	 Mixed magics	 Dogsbody	 Howl's moving castle	 Earwig and the witch	 Lives of christopher chant	 Merlin conspiracy	 Magicians of caprona	 Castle in the air	 Charmed life","http://viaf.org/viaf/102067392"
"1904-10-21","1977-02-01","male","Edmond Hamilton","Hamilton, Edmond,	 Calling Captain Future	 Haunted stars	 Star kings (Series)	 Star of life	 Closed worlds	 Battle for the stars	 City at world's end	 Best of edmond hamilton	 Valley of creation","http://viaf.org/viaf/44299904"
"1896-11-01","1974-01-20","male","Edmund Blunden","John Keats	 Blunden, Edmund	 Shelley is expelled.	 Blunden, Edmund,	 English villages","http://viaf.org/viaf/17264985"
"1887-08-15","1968-04-16","female","Edna Ferber","Girls	 Giant	 Saratoga trunk	 Fanny herself	 Reminiscence of Show boat	 American beauty	 So big	 Cimarron	 Come and get it	 Great son","http://viaf.org/viaf/32079532"
"1928-03-12","2016-09-16","male","Edward Albee","Tiny Alice	 Seascape	 Albee, Edward	 Who's afraid of Virginia Woolf?	 Three tall women	 Albee, Edward,	 A Delicate Balance","http://viaf.org/viaf/49220724"
"1878-03-03","1917-04-09","male","Edward Thomas","Poems	 Thomas, Edward,	 Thomas	 Literary pilgrim in England","http://viaf.org/viaf/19686045"
"1885-10-30","1972-11-01","male","Ezra Pound","Pound, Ezra	 Cantos.	 Pound, Ezra,	 A B C of reading	 Cantos	 Sayings of ezra pound	 Poems.	 Guide to kulchur	 Selected poems","http://viaf.org/viaf/24606774"
"1873-12-17","1939-06-26","male","Ford Madox Ford","Parade's end.	 Fifth queen	 Good soldier	 The inheritors	 Parade's end	 Rash act, a novel	 Ford, Ford Madox,	 Poems.	 Ford, Ford Madox	 Some Do Not","http://viaf.org/viaf/59077275"
"1752-06-13","1840-01-06","female","Fanny Burney","Evelina, or the history of a young lady's entrance into the world	 Correspondence.	 The wanderer, or female difficulties	 Brief reflections relative to the emigrant French clergy	 Camilla	 Burney, Fanny,	 Burney	 Plays","http://viaf.org/viaf/95297439"
"1431-04-01","1463","male","François Villon","Poèmes.	 Ballades	 Works.	 Works	 Grant testament	 Le Jargon.	 Lais	 Villon, François,	 Poems.	 Oeuvre.","http://viaf.org/viaf/7398349"
"1906-10-29","1972-03-11","male","Fredric Brown","Fabulous clipjoint	 Martians, go home	 Brown, Fredric,	 Paradox lost (Collection)	 Mind thing	 Far cry	 Rogue in space	 Space on my hands	 Night of the jabberwock","http://viaf.org/viaf/68926297"
"1947-01-10","2002-04-27","male","George Alec Effinger","Irrational numbers	 Effinger, George Alec.	 Exile kiss	 When gravity fails","http://viaf.org/viaf/69737603"
"1678","1707","","George Farquhar","","http://viaf.org/viaf/247954074"
"1936-03-07","1982-03-03","male","Georges Perec","Penser/classer	 Perec, Georges	 Perec, Georges (1936-1982).	 Le voyage d'hiver	 Cabinet d’amateur	 Vie, mode d'emploi	 Perec	 Quel petit vélo à guidon chromé au fond de la cour?	 La disparition","http://viaf.org/viaf/66472103"
"1146","1223","male","Giraldus Cambrensis","Topographia Hibernica","http://viaf.org/viaf/67260463"
"1933-03-13","2009-12-24","male","Gero von Wilpert","Deutsche Literatur in Bildern	 Moderne Weltliteratur : die gegenwartsliteraturen Europas und Amerikas","http://viaf.org/viaf/41854774"
"1941-01-30","","male","Gregory Benford","Tides of light	 Timescape	 Great sky river	 Sailing bright eternity	 Foundation's fear	 Artifact	 In the ocean of night	 Across the sea of suns	 Furious gulf	 Heart of the comet","http://viaf.org/viaf/51685554"
"1954-11-07","","male","Guy Gavriel Kay","Summer tree	 Kay, Guy Gavriel	 Ysabel	 Tigana	 Under heaven	 River of stars	 Wandering fire	 Lions of al-rassan	 Sailing to Sarantium","http://viaf.org/viaf/32133664"
"1949-06-14","","male","Harry Turtledove","Earthgrip	 American empire	 Misplaced legion	 Turtledove, Harry.	 Crosstime traffic	 Darkness descending	 Worldwar : in the balance	 The Legion Of Videssos	 Agent of Byzantium","http://viaf.org/viaf/104636300"
"1887-01-13","1917-07-31","male","Hedd Wyn","","http://viaf.org/viaf/18401866"
"1799-05-20","1850-08-18","male","Honoré de Balzac","La comédie humaine	 Le Chef Doeuvre Inconnu	 Le père Goriot	 Eugenie Grandet	 Balzac, Honoré de (1799-1850).	 Balzac, Honoré de	 Cousine Bette	 Illusions perdues	 Ferragus, chef des Dévorants	 La peau de chagrin","http://viaf.org/viaf/29529595"
"1886-01-14","1947-09-26","male","Hugh Lofting","Story of mrs. tubbs	 Doctor Dolittle's garden	 Twilight of magic	 Introducing Doctor Dolittle	 Doctor Dolittle's post office	 Story of doctor dolittle, being the history of his peculiar life at home and astonishing adventures in foreign parts. never before printed	 Doctor Dolittle in the moon	 Story of Doctor Dolittle	 Doctor Doolittle.	 Doctor Dolittle's zoo","http://viaf.org/viaf/14980332"
"1884-11-24","1970-05-07","male","Jones, Jack","","http://viaf.org/viaf/52618556"
"1876-01-12","1916-11-22","male","Jack London","Call of the Wild	 Brown Wolf	 To build a fire	 Martin Eden	 London, Jack,	 Sea-wolf","http://viaf.org/viaf/46764200"
"1935-04-14","","male","Jack McDevitt","Chindi	 Eternity road	 Ancient shores	 Deepsix	 Omega	 Engines of god	 Polaris	 Talent for war	 Seeker	 Echo","http://viaf.org/viaf/100311029"
"1928-04-07","1999-08-23","male","James White","Galactic gourmet : a sector general novel	 Final diagnosis : a Sector General novel	 Hospital station	 Code blue-emergency	 Escape orbit	 Star healer	 Star surgeon	 Mind changer : a Sector General novel	 Genocidal healer	 White, James,","http://viaf.org/viaf/73974334"
"1766-07-09","1838-04-17","female","Johanna Schopenhauer","Richard Wood	 Der Schnee	 Jugendleben und wanderbilder	 Meine Gross-Tante aus den Papieren eines alten Herrn	 Schnee : eine erzählung	 Reise durch England und Schottland	 Schopenhauer, Johanna	 Schopenhauer, Johanna,","http://viaf.org/viaf/51755743"
"1867-08-14","1933-01-31","male","John Galsworthy","Galsworthy, John	 Galsworthy, John,	 On Forsyte 'change	 Man of property, and indian summer of a forsyte	 Maid In Waiting	 Patrician	 The White Monkey	 The Forsythe saga","http://viaf.org/viaf/61561917"
"1947-10-03","2018-02-07","male","John Perry Barlow","","http://viaf.org/viaf/46170394"
"1817-02-21","1893-01-23","male","José Zorrilla","Los Ecos de las montañas	 El capitán Montoya	 Zorrilla, José	 Don Juan Tenorio","http://viaf.org/viaf/31991713"
"1890-01-09","1938-12-25","male","Karel Capek","Dášenka : čili život štěne̐te	 Hordubal ; Povětroň ; Obyčejný život	 R.U.R	 Čapek, Karel,	 Capek, Karel	 Krakatit	 Hovory s TGM	 Kniha apokryfů	 Hordubal	 Povídky z jedné kapsy","http://viaf.org/viaf/34454129"
"1962-03-27","","male","Kevin J. Anderson","Darksaber	 Ruins	 Forest of stars	 Hidden empire	 Jedi search	 Ground zero	 Antibodies	 X-files: ruins","http://viaf.org/viaf/113153910"
"1907-11-27","2000-11-06","male","Lyon Sprague De Camp","Lovecraft : a biography	 Conan the liberator	 Great cities of the ancient world	 Conan and the Spider God	 Wheels of if and other science-fiction	 Ancient engineers	 Tritonian ring	 Tales of Conan	 Lest darkness fall	 Conan The Buccaneer","http://viaf.org/viaf/31995203"
"1911-05-29","1970-01-15","female","Léa Goldberg","Goldberg, Leah,","http://viaf.org/viaf/12434988"
"1924-01-30","2007-05-17","male","Lloyd Alexander","Alexander, Lloyd.	 Gypsy Rizka	 First two lives of lukas-kasha	 The Black Cauldron	 Kestrel	 Cat who wished to be a man	 The chronicles of Prydain","http://viaf.org/viaf/56807852"
"1931-09-19","","male","Lloyd DeMause","Emotional life of nations	 DeMause, Lloyd	 Foundations of psychohistory	 New psychohistory	 Evolution of childhood	 Reagan's America","http://viaf.org/viaf/2480336"
"1713-04-11","1762-06-26","female","Luise Gottsched","Pietisterei im Fischbein-rocke	 Triumph der Weltweisheit	 Rape of the lock","http://viaf.org/viaf/27096863"
"1945-07-26","","male","M. John Harrison","Centauri device	 Course of the heart : a novel	 Pastel city	 Light	 Storm of wings	 Ice monkey and other stories	 Signs of life	 Nova swing	 Viriconium","http://viaf.org/viaf/62080102"
"1767-01-01","1849-05-22","female","Maria Edgeworth","Absentee	 Edgeworth, Maria,	 Rosamond	 Letters.	 Edgeworth	 Tales and stories	 Parent's assistant or, stories for children	 Tales of fashionable life	 Belinda","http://viaf.org/viaf/71477273"
"1930-06-03","1999-09-25","female","Marion Zimmer Bradley","Bradley, Marion Zimmer	 Heritage of hastur	 Thendara House	 Firebrand	 Shattered chain	 Stormqueen!	 Hawkmistress!	 Spell sword	 Bluebeard's daughter","http://viaf.org/viaf/66464308"
"1917-11-22","1995-12-06","male","Melvin Kranzberg","By the sweat of thy brow work in the Western world	 Technology and culture : an anthology","http://viaf.org/viaf/90725559"
"1950-06-24","","female","Mercedes Lackey","Novel of Valdemar	 Mage winds	 Storm rising	 Arrow's flight","http://viaf.org/viaf/24735343"
"1510","1557-04-19","male","Mikael Agricola","","http://viaf.org/viaf/29544260"
"1929-04-01","","male","Milan Kundera","Valčík na rozloučenou	 Kundera, Milan	 Kundera, Milan,	 Kundera, Milan (1929-....).	 Fête de l'insignifiance : roman	 Le rideau	 Lenteur	 Nesmrtelnost","http://viaf.org/viaf/267005402"
"1905-07-10","2002-05-29","female","Mildred A. Wirt","Mildred A. Wirt mystery stories	 Penny Parker mystery stories	 Trailer books","http://viaf.org/viaf/46766239"
"1622-01-15","1673-02-17","male","Molière","Molière (1622-1673).	 Bourgeois gentilhomme	 Misanthrope. (English)	 Les fourberies de Scapin	 Malade imaginaire	 Dom Juan	 Femmes savantes	 Œuvre	 Molier","http://viaf.org/viaf/2474502"
"1896-06-16","1975-06-08","male","Murray Leinster","Space platform	 Black galaxy	 Other side of here	 Operation terror	 Planet explorer	 Best of murray leinster	 Space tug	 Forgotten planet","http://viaf.org/viaf/17744847"
"1862-09-11","1910-06-05","male","O. Henry","Cabbages and kings	 Cop and the anthem	 Complete works of o. henry	 Gift of the magi	 Selected short stories of O. Henry	 Last leaf	 O. Henry's short stories	 Four million	 Whirligigs	 Ransom of red chief","http://viaf.org/viaf/46770914"
"-43-03-20","18","male","Ovídio","Amores	 Ars amatoria.	 Metamorphoses	 Tristia	 Les fastes	 Remedia amoris	 Heroides	 Halieuticon	 Owidiusz	 Ibis","http://viaf.org/viaf/88342447"
"1753-05-08","1784-12-05","female","Phillis Wheatley","Wheatley, Phillis,	 Memoir and poems of Phillis Wheatley	 Poems.","http://viaf.org/viaf/24620908"
"1914-03-01","1994-04-16","male","Ralph Ellison","Invisible man	 Ellison, Ralph.	 Ellison, Ralph,	 Flying home and other stories	 Shadow and act	 Juneteenth : a novel","http://viaf.org/viaf/2481446"
"1908-09-04","1960-11-28","male","Richard Wright","Native son	 Wright, Richard	 American hunger	 The outsider	 Long dream	 Wright	 Uncle Tom's children	 Lawd today	 Eight men	 Wright, Richard,","http://viaf.org/viaf/34464524"
"1916-09-13","1990-11-23","male","R. Dahl","The BFG	 Danny, the champion of the world	 Matilda	 Dahl, Roald	 George's marvellous medicine.	 Esio trot	 James and the giant peach	 Charlie and the Chocolate Factory	 The witches	 Fantastic Mr Fox","http://viaf.org/viaf/108159131"
"1946-06-28","2008-05-22","male","Robert Asprin","Myth-nomers and im-pervections	 Bug wars	 Hit or myth	 Cold cash war	 Myth directions	 Phule's company	 Phule's paradise	 Myth-ing persons	 Another fine myth	 Phule and his money","http://viaf.org/viaf/27627288"
"1895-07-24","1985-12-07","male","Robert Graves","Greek myths	 Poems	 I, Claudius	 King Jesus	 Graves, Robert,	 Golden fleece	 Lawrence and the Arabs	 White goddess.	 Graves, Robert	 Count Belisarius","http://viaf.org/viaf/68929835"
"1927-05-25","2001-03-12","male","Robert Ludlum","Bourne supremacy	 Chancellor manuscript	 Gemini contenders	 Bourne ultimatum	 The Matarese circle	 Ludlum, Robert,	 Icarus agenda	 Matlock paper	 Osterman weekend","http://viaf.org/viaf/109373898"
"1942-06-18","2013-04-04","male","Roger Ebert","Great movies	 Bigger little book of hollywood clichés","http://viaf.org/viaf/15926824"
"1937-05-13","1995-06-14","male","Roger Zelazny","This immortal	 Sign of the unicorn	 Changeling	 Zelazny, Roger	 Lord of light	 Prince of chaos	 Guns of avalon	 Blood of Amber	 Knight of shadows	 Nine princes in Amber","http://viaf.org/viaf/49233219"
"1870-12-18","1916-11-13","male","Saki","Bodley Head.	 Reginald, and Reginald in Russia	 Open window	 Toys of peace and other papers	 Complete short stories of saki	 Beasts & superbeasts	 Short stories	 Chronicles of clovis	 Best of saki	 Saki,","http://viaf.org/viaf/7396805"
"1947-06-19","","male","Salman Rushdie","Luka and the fire of life : a novel	 Shame	 The satanic verses	 Rushdie, Salman	 Shalimar the Clown : a novel	 רושדי, סלמאן,	 Spoken word Shah)	 Rushdie, Salman (1947-....).	 Enchantress of florence : a novel	 Fury","http://viaf.org/viaf/29540187"
"1939-04-13","2013-08-30","male","Seamus Heaney","Seeing things	 The haw lantern	 Heaney, Seamus	 Electric light	 Heaney, Seamus,	 Wintering out	 Poems.	 Redress of poetry	 Sweeney astray.","http://viaf.org/viaf/109557338"
"1888-08-08","1970-02-17","male","Agnon, S.J.","Agnon, Shmuel Yosef,	 Shevuat emunim	 עגנון, שמואל יוסף,	 Oreah Natah Lalun	 Ve-hayah heʻaḳov le-mishor	 Hakhnasat kalah	 Agnon","http://viaf.org/viaf/14765267"
"1886-09-08","1967-09-01","male","Siegfried Sassoon","Poems.	 Memoirs of a fox-hunting man	 Poems","http://viaf.org/viaf/89412247"
"1882-05-20","1949-06-10","female","Sigrid Undset","Undset, Sigrid,	 Fru Marta Oulie	 Vaaren	 Jenny	 Kristin Lavransdatter	 Gymnadenia	 Brennende busk	 Trofaste hustru : roman	 Ida Elizabeth	 Madame Dorthea; roman","http://viaf.org/viaf/73860916"
"1885-02-07","1951-01-10","male","Sinclair Lewis","Lewis, Sinclair	 Lewis, Sinclair,	 Elmer Gantry	 Babbit	 Mantrap	 Cass Timberlane	 Ann Vickers	 Our Mr. Wrenn","http://viaf.org/viaf/39380311"
"1930-05-11","1995-06-02","male","Stanley Lawrence Elkin","Living end	 Magic kingdom	 Bad man	 Elkin, Stanley,	 Van Gogh's room at Arles : three novellas","http://viaf.org/viaf/104114240"
"1947-08-12","","male","Stefano Benni","Saltatempo	 Achille piè veloce	 Comici spaventati guerrieri	 Margherita Dolcevita	 Bar sport duemila	 Ultima lacrima	 Compagnia dei Celestini	 Bar sotto il mare	 Terra!","http://viaf.org/viaf/71374556"
"1955-11-23","","male","Steven Brust","Orca	 Five hundred years after	 Athyra	 Phoenix	 Taltos	 Teckla	 Book of Jhereg	 Yendi	 Agyar","http://viaf.org/viaf/5074845"
"1902-09-20","1971-03-07","female","Stevie Smith","Poems.	 Poems	 Works.	 Smith, Stevie,	 Selected poems	 Novel on yellow paper : a novel","http://viaf.org/viaf/7436951"
"69","122","male","Suetonius","Suetonius Tranquillus, Gaius	 Caligula	 Suétone	 Divus Claudius	 De poetis	 Suétone (0069?-0126?).	 Suetonius,	 Vitae XII Caesarum	 De grammaticis et rhetoribus","http://viaf.org/viaf/89599270"
"1839-03-16","1907-09-06","male","Sully Prudhomme","Prudhomme, Sully	 Le cygne	 Sully Prudhomme","http://viaf.org/viaf/89565335"
"1935-05-23","","female","Susan Cooper","Magician's boy	 Boggart and the monster	 Grey king	 Frog	 Greenwitch	 Seaward	 Boggart book	 Dark is rising sequence	 Over Sea Under Stone	 Silver on the tree","http://viaf.org/viaf/49344224"
"1932-10-27","1963-02-11","female","Sylvia Plath","Plath, Sylvia	 Three women	 Poems	 Ariel	 Plath, Sylvia.	 The bell jar	 Winter trees","http://viaf.org/viaf/14775269"
"1906-05-29","1964-01-17","male","T. H. White","Maharajah & other stories	 Sword in the stone	 Witch in the wood	 Ill-made knight	 White, T. H.	 Elephant and the kangaroo","http://viaf.org/viaf/19685792"
"1949-03-24","","female","Tabitha King","Book of reuben	 Trap	 Small world	 Candles burning : a novel	 One on one	 Pearl	 Caretakers	 Survivor","http://viaf.org/viaf/61639391"
"1930-08-17","1998-10-28","male","Ted Hughes","The iron man	 Hughes, Ted,	 Hughes, Ted	 Iron giant : a story in five nights	 Poems	 Crow: from the life and songs of the Crow	 Birthday Letters	 Shakespeare and the Goddess of Complete Being","http://viaf.org/viaf/108232871"
"1944-01-08","","male","Terrence Dean Brooks","Brooks, Terry	 Wizard at large	 Brooks, Terry.	 Magic kingdom of Landover.	 Antrax	 Armageddon's children	 Star Wars, episode I : the phantom menace	 Sword of shannara	 Elves of cintra","http://viaf.org/viaf/73911214"
"1948-04-28","2015-03-12","male","Terry Pratchett","Reaper man	 Eric	 Wee free men	 Sourcery	 Colour of magic	 Wintersmith	 Guards! Guards!	 Mort	 Pyramids	 Pratchett, Terry","http://viaf.org/viaf/76382712"
"1918-02-26","1985-05-08","male","Theodore Sturgeon","Godbody	 Caviar	 Cosmic rape	 More than human	 Touch of strange	 Sturgeon in orbit	 Killdozer!	 Some of your blood	 Sturgeon, Theodore.	 Sturgeon, Theodore","http://viaf.org/viaf/100257330"
"1897-04-17","1975-12-07","male","Thornton Niven Wilder","Long Christmas dinner	 Wilder, Thornton	 Heaven's my destination	 Our town	 Skin of our teeth.	 Eighth day	 Cabala	 Wilder, Thornton,	 The Ides of March","http://viaf.org/viaf/100167035"
"1811-08-30","1872-10-23","male","Théophile Gautier","Roman de la momie	 Recits fantastiques	 Gautier	 Mademoiselle de Maupin	 Gautier, Théophile,	 Captain fracasse. texte complet (1863)	 Constantinople	 Histoire du romantisme","http://viaf.org/viaf/96428598"
"1952-02-29","","male","Tim Powers","Anubis gates	 Stress of her regard	 Declare	 Expiration date	 On stranger tides	 Last call	 Three days to never	 Earthquake weather	 Dinner at deviant's palace	 Drawing of the dark","http://viaf.org/viaf/85448856"
"1937-07-03","","male","Tom Stoppard","Arcadia	 Night and day	 Stoppard, Tom.	 Rosenkrantz and Guildenstern are dead (film)	 Stoppard, Tom (1937-....).	 Rock'n'roll	 Jumpers	 Invention of love","http://viaf.org/viaf/101362857"
"1942-06-02","","male","Tony Buzan","Master your memory	 Embracing change : essential steps to make your future today	 Speed reading	 Buzan study skills handbook	 How to mind map	 Use your memory	 Mind mapping	 Make the most of your mind	 Power of spiritual intelligence	 Use your head","http://viaf.org/viaf/66455569"
"1544-03-11","1595-04-25","male","Torquato Tasso","Rime d'amore.	 Dialoghi	 Tasse	 Re torrismondo	 Tasso, Torquato,	 La Gerusalemme liberata	 Gerusalemme conquistata	 Mondo creato.","http://viaf.org/viaf/4936996"
"1914-08-09","2001-06-27","female","Tove Jansson","Småtrolllen och den stora översvämningen	 Trollkarlens hatt	 Muminpappans memoarer	 Farlig midsommar	 Jansson, Tove	 Sent i november	 Trollvinter	 Pappan och havet","http://viaf.org/viaf/111533709"
"1944-10-02","","male","Vernor Vinge","Marooned in realtime	 True names	 Witling	 Rainbows end	 Children of the sky	 Fire upon the deep	 Collected stories of vernor vinge	 Deepness in the sky	 Peace war","http://viaf.org/viaf/79037788"
"1546-03-25","1591-07-22","","Veronica Franco","Franco, Veronica,","http://viaf.org/viaf/66577804"
"1953-09-05","","male","Victor Davis Hanson","Wars of the ancient greeks : and their invention of western military culture	 War like no other : how the athenians and spartans fought the peloponnesian war	 Western way of war : infantry battle in classical greece	 Carnage and culture : landmark battles in the rise of Western power","http://viaf.org/viaf/46790634"
"1802-02-26","1885-05-22","male","V. Hugo","Travailleurs de la mer	 Hugo	 Cromwell	 Ruy Blas	 Notre-Dame de Paris	 Misérables	 Hugo, Victor (1802-1885).	 Les contemplations","http://viaf.org/viaf/9847974"
"1882-01-25","1941-03-28","female","Virginia Woolf","Woolf, Virginia	 Three guineas	 Between the acts	 Woolf, Virginia (1882-1941).	 Woolf, Virginia,	 Voyage out	 Flush	 To the lighthouse	 Mrs. Dalloway	 Room of one's own.","http://viaf.org/viaf/39385478"
"1899-04-23","1977-07-02","male","Vladimir Vladimirovich Nabokov","Pnin	 Transparent things	 Nikolai Gogol	 Nabokov, Vladimir	 Lolita	 Nabokov, Vladimir Vladimirovich,	 Le don	 Pale fire.	 Lectures on Don Quixote","http://viaf.org/viaf/27069388"
"1694-02-20","1778-05-30","male","Voltaire","Voltaire	 Traité sur la tolérance	 Voltaire,	 Alzire	 Lettres philosophiques	 Ingénu","http://viaf.org/viaf/36925746"
"1916-05-28","1990-05-10","male","Walker Percy","Lancelot	 Thanatos syndrome	 Percy	 Percy, Walker	 Lost in the cosmos : the last self-help book	 Love in the ruins	 The last gentleman","http://viaf.org/viaf/29539039"
"1552","1618-10-29","male","Walter Raleigh","Raleigh, Walter,	 Apologie for his voyage to Guiana	 Discoverie of Guiana	 Observations concerning the causes of the magnificency and opulency of cities	 History of the world","http://viaf.org/viaf/107533796"
"1893-03-18","1918-11-04","male","Wilfred Owen","Works	 Poems	 War poems	 War requiem	 Collected letters	 Correspondence.	 Poems.	 War poems and others	 Works.","http://viaf.org/viaf/2564947"
"1832-04-15","1908-01-09","male","Wilhelm Busch","Bilder zur Jobsiade	 Busch, Wilhelm	 Maler Klecksel	 Der heilige Antonius von Padua	 Hans Huckebein, der Unglücksrabe	 Fipps der Affe	 Busch, Wilhelm (1832-1908).","http://viaf.org/viaf/22139423"
"1757-11-28","1827-08-12","male","William Blake","Blake, William,	 Poems.	 Songs of innocence	 Blake, William	 Poems of William Blake	 Visions of the daughters of Albion	 Blake's illuminated books","http://viaf.org/viaf/54144439"
"1883-09-17","1963-03-04","male","William Carlos Williams","Pictures from Brueghel : and other poems	 Williams, William Carlos,	 William Carlos Williams archive series	 Journey to love	 Imaginations	 In the American grain	 Paterson	 Williams, William Carlos	 White Mule","http://viaf.org/viaf/29542054"
"1670-02-10","1729-01-19","male","William Congreve","Works	 Plays.	 Plays	 <<The>> way of the world	 Judgement of Paris	 Incognita	 Old batchelour	 Congreve, William	 Mourning bride	 Congreve, William,","http://viaf.org/viaf/24616924"
"1928-06-03","1980","male","William Francis Nolan","White cad cross-up	 Logan's world	 Nolan, William F.,	 Steve McQueen : star on wheels	 Black mask murders : a novel featuring the black mask boys, dashiell hammett, raymond chandler, and erle stanley gardner	 Pseudo-people : androids in science fiction","http://viaf.org/viaf/109872027"
"1948-03-17","2008","male","William Gibson","Mona Lisa overdrive	 Gibson, William,	 Idoru	 Count Zero	 Gibson, William (1948-....).	 Virtual light	 Pattern recognition	 Spook country	 All tomorrow's parties","http://viaf.org/viaf/109517110"
"1931-08-12","","male","William Goldman","No way to treat a lady	 Marathon man	 Goldman, William,	 Wigger	 The princess bride	 Boys and girls together	 Heat	 Tinsel	 Brothers","http://viaf.org/viaf/113978172"
"1914-02-05","1997-08-02","male","William S. Burroughs","Junky	 Burroughs, William S.,	 Interview with William Burroughs	 Burroughs, William S.	 Naked lunch.	 Soft machine	 Queer	 Ghost of chance","http://viaf.org/viaf/108916275"
